timestamp,rule,seed,makespan,machine_id,machine_type,ops_completed,time_processing,time_operational,utilization_rate,idle_time,idle_rate
2026-05-16 17:36:08,SRT_SRWT,42,3837.01,0,Mill,20,1333.09,3837.01,0.3474,2503.92,0.6526
2026-05-16 17:36:08,SRT_SRWT,42,3837.01,1,Lathe,12,799.86,3837.01,0.2085,3037.15,0.7915
2026-05-16 17:36:08,SRT_SRWT,42,3837.01,2,Weld,17,1133.11,3837.01,0.2953,2703.90,0.7047
2026-05-16 17:36:08,SRT_SRWT,42,3837.01,3,Mill,2,133.32,3837.01,0.0347,3703.69,0.9653
2026-05-16 17:36:08,SRT_SRWT,42,3837.01,4,Inspect,0,0.00,3837.01,0.0000,3837.01,1.0000
2026-05-16 17:36:08,SRT_SRWT,42,3837.01,5,Assemble,4,266.61,3837.01,0.0695,3570.40,0.9305
2026-05-16 17:37:37,SRT_SRWT,43,3966.67,0,Mill,20,1333.10,3966.67,0.3361,2633.56,0.6639
2026-05-16 17:37:37,SRT_SRWT,43,3966.67,1,Lathe,12,799.86,3966.67,0.2016,3166.81,0.7984
2026-05-16 17:37:37,SRT_SRWT,43,3966.67,2,Weld,17,1133.14,3966.67,0.2857,2833.53,0.7143
2026-05-16 17:37:37,SRT_SRWT,43,3966.67,3,Mill,2,133.32,3966.67,0.0336,3833.34,0.9664
2026-05-16 17:37:37,SRT_SRWT,43,3966.67,4,Inspect,0,0.00,3966.67,0.0000,3966.67,1.0000
2026-05-16 17:37:37,SRT_SRWT,43,3966.67,5,Assemble,4,266.62,3966.67,0.0672,3700.05,0.9328
2026-05-16 17:39:06,SRT_SRWT,44,3966.67,0,Mill,20,1333.14,3966.67,0.3361,2633.53,0.6639
2026-05-16 17:39:06,SRT_SRWT,44,3966.67,1,Lathe,12,799.88,3966.67,0.2017,3166.78,0.7983
2026-05-16 17:39:06,SRT_SRWT,44,3966.67,2,Weld,17,1133.17,3966.67,0.2857,2833.50,0.7143
2026-05-16 17:39:06,SRT_SRWT,44,3966.67,3,Mill,2,133.33,3966.67,0.0336,3833.34,0.9664
2026-05-16 17:39:06,SRT_SRWT,44,3966.67,4,Inspect,0,0.00,3966.67,0.0000,3966.67,1.0000
2026-05-16 17:39:06,SRT_SRWT,44,3966.67,5,Assemble,4,266.62,3966.67,0.0672,3700.04,0.9328
2026-05-16 17:40:41,SRT_SRWT,42,4200.00,0,Mill,21,1399.84,4200.00,0.3333,2800.16,0.6667
2026-05-16 17:40:41,SRT_SRWT,42,4200.00,1,Lathe,8,533.25,4200.00,0.1270,3666.75,0.8730
2026-05-16 17:40:41,SRT_SRWT,42,4200.00,2,Weld,10,666.62,4200.00,0.1587,3533.38,0.8413
2026-05-16 17:40:41,SRT_SRWT,42,4200.00,3,Mill,5,333.30,4200.00,0.0794,3866.70,0.9206
2026-05-16 17:40:41,SRT_SRWT,42,4200.00,4,Inspect,6,399.97,4200.00,0.0952,3800.03,0.9048
2026-05-16 17:40:41,SRT_SRWT,42,4200.00,5,Assemble,8,533.26,4200.00,0.1270,3666.74,0.8730
2026-05-16 17:42:16,SRT_SRWT,43,4200.00,0,Mill,21,1399.74,4200.00,0.3333,2800.26,0.6667
2026-05-16 17:42:16,SRT_SRWT,43,4200.00,1,Lathe,8,533.22,4200.00,0.1270,3666.78,0.8730
2026-05-16 17:42:16,SRT_SRWT,43,4200.00,2,Weld,10,666.57,4200.00,0.1587,3533.43,0.8413
2026-05-16 17:42:16,SRT_SRWT,43,4200.00,3,Mill,5,333.27,4200.00,0.0794,3866.73,0.9206
2026-05-16 17:42:16,SRT_SRWT,43,4200.00,4,Inspect,6,399.94,4200.00,0.0952,3800.06,0.9048
