timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals
2026-06-12 19:47:36,30j_5m_agv10,SPT_SRWT,42,10996.22,30,5,150,10,300,-0.7264,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 19:52:33,30j_5m_agv10,SPT_SRWT,43,10700.00,30,5,146,10,292,-0.7237,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 19:57:33,30j_5m_agv10,SPT_SRWT,44,10800.00,30,5,148,10,296,-0.7230,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
