instance,Assemble,Inspect,Lathe,Mill,Weld,__imbalance__
dynamic_30j_15m_multiple,7.837777777777778,7.54567901234568,7.127654320987655,8.450123456790124,9.595925925925926,1.346295077424048
dynamic_30j_15m_single,7.836172839506173,7.592222222222222,7.161728395061728,8.489012345679013,9.640493827160494,1.3461127391828995
large_50j_15m_multiple,8.550864197530863,10.279753086419753,9.729382716049383,9.584567901234568,9.475802469135802,1.202188790390113
large_50j_15m_single,8.540987654320988,10.254197530864198,9.696913580246914,9.547407407407407,9.45320987654321,1.2005868578531989
medium_20j_15m_multiple,9.117037037037036,8.994938271604939,9.152716049382716,9.665308641975308,9.511975308641976,1.0745275120438105
medium_20j_15m_single,9.163086419753087,9.008888888888889,9.175555555555556,9.65320987654321,9.527037037037038,1.0715205832374062
small_5j_5m_multiple,18.362962962962964,11.186296296296298,17.364444444444445,15.362962962962964,20.996296296296297,1.8769658643181137
small_5j_5m_single,18.988148148148152,11.67148148148148,17.841851851851853,15.83148148148148,21.771851851851853,1.8653888871259483
xlarge_100j_20m_multiple,8.396203703703703,7.392037037037038,7.985462962962963,7.515185185185185,7.64175925925926,1.135844377082446
xlarge_100j_20m_single,8.416203703703705,7.421111111111111,7.99574074074074,7.509351851851852,7.628611111111111,1.13408943454609
