base,rule,seed,multiple,single,delta,pct_delta
dynamic_30j_15m,LPT_MMUR,42,10300.0,10300.0,0.0,0.0
dynamic_30j_15m,LPT_MMUR,43,11266.69,11166.66,100.03000000000065,0.8957915795770682
dynamic_30j_15m,LPT_MMUR,44,10133.31,10000.0,133.3099999999995,1.3330999999999948
dynamic_30j_15m,LPT_SMPT,42,9966.69,10000.0,-33.30999999999949,-0.3330999999999949
dynamic_30j_15m,LPT_SMPT,43,10833.34,10866.67,-33.32999999999993,-0.3067176973258591
dynamic_30j_15m,LPT_SMPT,44,9800.0,9733.33,66.67000000000007,0.6849659880020514
dynamic_30j_15m,LRT_MMUR,42,10566.69,10566.66,0.030000000000654836,0.0002839118510546837
dynamic_30j_15m,LRT_MMUR,43,11266.69,11266.66,0.030000000000654836,0.0002662723469125263
dynamic_30j_15m,LRT_MMUR,44,10233.31,10233.33,-0.020000000000436557,-0.00019543980307912048
dynamic_30j_15m,SDT_SRWT,42,9866.66,9866.67,-0.010000000000218279,-0.0001013513171132538
dynamic_30j_15m,SDT_SRWT,43,10733.31,10700.0,33.30999999999949,0.3113084112149485
dynamic_30j_15m,SDT_SRWT,44,9733.34,9766.67,-33.32999999999993,-0.34126268216290634
dynamic_30j_15m,SPT_SMPT,42,10066.66,10100.0,-33.340000000000146,-0.33009900990099156
dynamic_30j_15m,SPT_SMPT,43,10700.0,10700.0,0.0,0.0
dynamic_30j_15m,SPT_SMPT,44,9733.34,9700.0,33.340000000000146,0.34371134020618704
dynamic_30j_15m,SPT_SRWT,42,10066.69,10066.67,0.020000000000436557,0.00019867543090651185
dynamic_30j_15m,SPT_SRWT,43,10466.69,10466.67,0.020000000000436557,0.00019108274169756531
dynamic_30j_15m,SPT_SRWT,44,9900.0,9833.33,66.67000000000007,0.6780002298305872
dynamic_30j_15m,SRT_SMPT,42,10133.34,10100.0,33.340000000000146,0.33009900990099156
dynamic_30j_15m,SRT_SMPT,43,10966.66,11133.34,-166.6800000000003,-1.4971248520210492
dynamic_30j_15m,SRT_SMPT,44,9866.66,9733.33,133.32999999999993,1.3698292362428885
dynamic_30j_15m,SRT_SRWT,42,10000.0,9933.33,66.67000000000007,0.6711747218707128
dynamic_30j_15m,SRT_SRWT,43,10633.31,10633.33,-0.020000000000436557,-0.0001880878332604796
