base,rule,seed,multiple,single,delta,pct_delta
large_50j_15m,SDT_SRWT,44,14900.16,21491.04,-6590.880000000001,-30.668036539878944
large_50j_15m,SPT_SMPT,42,15605.2,21119.74,-5514.540000000001,-26.11083280381293
large_50j_15m,SPT_SMPT,43,14151.14,18870.84,-4719.700000000001,-25.010545370529346
large_50j_15m,SPT_SMPT,44,15460.94,21108.260000000002,-5647.3200000000015,-26.754076366313477
large_50j_15m,SPT_SRWT,42,14478.619999999999,21604.0,-7125.380000000001,-32.98176263654879
large_50j_15m,SPT_SRWT,43,13012.44,19305.46,-6293.019999999999,-32.597099473413216
large_50j_15m,SPT_SRWT,44,14253.36,21284.72,-7031.360000000001,-33.03477800036834
large_50j_15m,SRT_SMPT,42,15484.32,21139.62,-5655.299999999999,-26.752136509549366
large_50j_15m,SRT_SMPT,43,14165.46,18849.22,-4683.760000000002,-24.84856137283135
large_50j_15m,SRT_SMPT,44,15395.82,21174.04,-5778.220000000001,-27.289171079302772
large_50j_15m,SRT_SRWT,42,14395.460000000001,21631.12,-7235.659999999998,-33.45023281272536
large_50j_15m,SRT_SRWT,43,13179.08,19228.34,-6049.26,-31.460126043121768
large_50j_15m,SRT_SRWT,44,14154.44,21447.62,-7293.1799999999985,-34.004612166757894
large_50j_15m,random,42,15261.279999999999,21808.5,-6547.220000000001,-30.021413668982284
large_50j_15m,random,43,13692.32,19082.14,-5389.82,-28.245364513623734
large_50j_15m,random,44,15682.62,21323.8,-5641.1799999999985,-26.454853262551698
medium_20j_15m,LPT_MMUR,42,6034.68,10570.68,-4536.0,-42.91114668119743
medium_20j_15m,LPT_MMUR,43,6672.36,10604.18,-3931.8200000000006,-37.078020176949096
medium_20j_15m,LPT_MMUR,44,6182.92,10341.779999999999,-4158.859999999999,-40.214160424994525
medium_20j_15m,LPT_SMPT,42,7700.12,10728.78,-3028.6600000000008,-28.22930472989474
medium_20j_15m,LPT_SMPT,43,7640.22,10294.62,-2654.4000000000005,-25.784341724123866
medium_20j_15m,LPT_SMPT,44,7621.48,10493.7,-2872.220000000001,-27.37089872971403
medium_20j_15m,LRT_MMUR,42,6195.2,10612.039999999999,-4416.839999999999,-41.621026682899796
medium_20j_15m,LRT_MMUR,43,6633.6,10644.88,-4011.279999999999,-37.68271694936908
medium_20j_15m,LRT_MMUR,44,6306.16,10363.380000000001,-4057.220000000001,-39.149582472127825
medium_20j_15m,SDT_SRWT,42,6788.32,10661.18,-3872.8600000000006,-36.32674807103904
medium_20j_15m,SDT_SRWT,43,7061.46,10727.2,-3665.7400000000007,-34.17238421955403
medium_20j_15m,SDT_SRWT,44,6832.4,10394.44,-3562.040000000001,-34.26870519239132
medium_20j_15m,SPT_SMPT,42,7699.56,10728.5,-3028.9399999999996,-28.23265134921004
medium_20j_15m,SPT_SMPT,43,7542.48,10300.18,-2757.7000000000007,-26.773318524530648
medium_20j_15m,SPT_SMPT,44,7730.72,10474.02,-2743.3,-26.191471851304467
medium_20j_15m,SPT_SRWT,42,7266.78,10849.3,-3582.5199999999995,-33.020747882351856
medium_20j_15m,SPT_SRWT,43,7258.0,10691.9,-3433.8999999999996,-32.11683610957828
medium_20j_15m,SPT_SRWT,44,7010.0599999999995,10538.08,-3528.0200000000004,-33.47877412204121
medium_20j_15m,SRT_SMPT,42,7791.88,10728.2,-2936.3200000000006,-27.370108685520407
medium_20j_15m,SRT_SMPT,43,7620.08,10295.619999999999,-2675.539999999999,-25.987167358546635
medium_20j_15m,SRT_SMPT,44,7592.4400000000005,10474.2,-2881.76,-27.51293654885337
medium_20j_15m,SRT_SRWT,42,6896.32,10766.86,-3870.540000000001,-35.948642408278744
medium_20j_15m,SRT_SRWT,43,7123.9800000000005,10605.82,-3481.8399999999992,-32.82952190401119
medium_20j_15m,SRT_SRWT,44,6877.22,10690.039999999999,-3812.819999999999,-35.66703211587608
medium_20j_15m,random,42,7405.32,10886.74,-3481.42,-31.97853535585492
medium_20j_15m,random,43,7271.92,10892.64,-3620.7199999999993,-33.240059342822306
medium_20j_15m,random,44,7684.76,10721.46,-3036.699999999999,-28.32356787228604
small_5j_5m,LPT_MMUR,42,703.36,1114.18,-410.82000000000005,-36.871959647453735
small_5j_5m,LPT_MMUR,43,707.48,1174.3000000000002,-466.82000000000016,-39.75304436685686
small_5j_5m,LPT_MMUR,44,648.44,1068.24,-419.79999999999995,-39.298285029581365
small_5j_5m,LPT_SMPT,42,703.36,1113.12,-409.7599999999999,-36.811844185712225
small_5j_5m,LPT_SMPT,43,707.48,1174.3000000000002,-466.82000000000016,-39.75304436685686
small_5j_5m,LPT_SMPT,44,648.44,1068.24,-419.79999999999995,-39.298285029581365
small_5j_5m,LRT_MMUR,42,702.1800000000001,1107.46,-405.28,-36.59545265743232
small_5j_5m,LRT_MMUR,43,707.48,1174.8600000000001,-467.3800000000001,-39.781761231125415
small_5j_5m,LRT_MMUR,44,648.5,1068.8200000000002,-420.32000000000016,-39.325611421941964
small_5j_5m,SDT_SRWT,42,703.36,1106.9,-403.5400000000001,-36.456771162706666
small_5j_5m,SDT_SRWT,43,705.0600000000001,1173.1599999999999,-468.0999999999998,-39.90078079716321
small_5j_5m,SDT_SRWT,44,650.86,1068.82,-417.9599999999999,-39.104807170524495
small_5j_5m,SPT_SMPT,42,703.36,1111.92,-408.56000000000006,-36.743650622346934
small_5j_5m,SPT_SMPT,43,706.3,1174.3,-468.0,-39.85352976241165
small_5j_5m,SPT_SMPT,44,649.62,1068.24,-418.62,-39.187822961132326
small_5j_5m,SPT_SRWT,42,703.36,1106.9,-403.5400000000001,-36.456771162706666
small_5j_5m,SPT_SRWT,43,706.3,1174.3,-468.0,-39.85352976241165
small_5j_5m,SPT_SRWT,44,649.62,1068.24,-418.62,-39.187822961132326
small_5j_5m,SRT_SMPT,42,703.36,1106.9,-403.5400000000001,-36.456771162706666
small_5j_5m,SRT_SMPT,43,705.12,1173.74,-468.62,-39.92536677628776
small_5j_5m,SRT_SMPT,44,650.86,1068.26,-417.4,-39.072884878213166
small_5j_5m,SRT_SRWT,42,703.36,1111.8400000000001,-408.48000000000013,-36.739099150956974
small_5j_5m,SRT_SRWT,43,705.12,1173.74,-468.62,-39.92536677628776
small_5j_5m,SRT_SRWT,44,650.86,1068.26,-417.4,-39.072884878213166
small_5j_5m,random,42,703.36,1111.72,-408.36,-36.73227071564782
small_5j_5m,random,43,706.3,1174.3000000000002,-468.0000000000002,-39.85352976241166
small_5j_5m,random,44,648.5,1068.82,-420.31999999999994,-39.32561142194195
xlarge_100j_20m,LPT_MMUR,42,29587.89,55443.32,-25855.43,-46.633985843560595
xlarge_100j_20m,LPT_MMUR,43,31600.710000000003,59822.32,-28221.609999999997,-47.17571969793214
xlarge_100j_20m,LPT_MMUR,44,31881.03,60199.3,-28318.270000000004,-47.040862601392384
xlarge_100j_20m,LPT_SMPT,42,40174.26,54820.979999999996,-14646.719999999994,-26.71736258636747
xlarge_100j_20m,LPT_SMPT,43,43078.4,59523.450000000004,-16445.050000000003,-27.627850872219273
xlarge_100j_20m,LPT_SMPT,44,42878.58,59948.92,-17070.339999999997,-28.47480822006468
xlarge_100j_20m,LRT_MMUR,42,29557.190000000002,55444.1,-25886.909999999996,-46.69010769405581
xlarge_100j_20m,LRT_MMUR,43,31824.149999999998,59823.96000000001,-27999.81000000001,-46.80367197357047
xlarge_100j_20m,LRT_MMUR,44,31978.55,60198.54,-28219.99,-46.8781967137409
xlarge_100j_20m,SDT_SRWT,42,35814.87,56285.94,-20471.07,-36.369775471458766
xlarge_100j_20m,SDT_SRWT,43,37790.67,60468.23,-22677.560000000005,-37.50326411075701
xlarge_100j_20m,SDT_SRWT,44,38314.49,60901.5,-22587.010000000002,-37.087772879157335
xlarge_100j_20m,SPT_SMPT,42,40149.12,54842.479999999996,-14693.359999999993,-26.79193209351582
xlarge_100j_20m,SPT_SMPT,43,43079.72,59562.14,-16482.42,-27.672645744427584
xlarge_100j_20m,SPT_SMPT,44,42956.18,59922.79,-16966.61,-28.314118885318923
xlarge_100j_20m,SPT_SRWT,42,35624.090000000004,56191.28,-20567.189999999995,-36.602102675005796
xlarge_100j_20m,SPT_SRWT,43,38286.21,60608.29,-22322.08,-36.830077205609996
xlarge_100j_20m,SPT_SRWT,44,37653.369999999995,60909.66,-23256.290000000008,-38.18161191508869
xlarge_100j_20m,SRT_SMPT,42,40218.82,54844.479999999996,-14625.659999999996,-26.667515126408343
xlarge_100j_20m,SRT_SMPT,43,43006.72,59523.42,-16516.699999999997,-27.74823758446675
xlarge_100j_20m,SRT_SMPT,44,42796.56,59900.89,-17104.33,-28.554383749556976
xlarge_100j_20m,SRT_SRWT,42,35736.770000000004,56204.68,-20467.909999999996,-36.41673611521317
xlarge_100j_20m,SRT_SRWT,43,37398.91,60506.81,-23107.899999999994,-38.190577225935385
xlarge_100j_20m,SRT_SRWT,44,37815.65,60884.200000000004,-23068.550000000003,-37.88922249122104
xlarge_100j_20m,random,42,38133.37,56429.25,-18295.879999999997,-32.42268858792204
xlarge_100j_20m,random,43,42243.630000000005,61876.39,-19632.759999999995,-31.72900035053757
xlarge_100j_20m,random,44,41262.53,61563.090000000004,-20300.560000000005,-32.975212907604224
