timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals
2026-06-12 20:16:46,30j_20m_agv10,LPT_MMUR,42,10830.71,30,20,157,10,314,-0.6835,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:00,30j_20m_agv10,LPT_MMUR,43,10766.67,30,20,148,10,296,-0.7185,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:26:51,30j_20m_agv10,LPT_MMUR,44,9933.33,30,20,142,10,284,-0.6901,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
