instance,rule,n_total,n_completed,completion_rate,mean,std,cv
l008_baseline,FIFO_SRWT,645,616,0.9550387596899225,1150.0537337662338,205.38192244532425,0.17858463166997665
l008_baseline,LPT_MMUR,646,611,0.9458204334365325,1330.3875613747955,288.1248230907788,0.21657209632434962
l008_baseline,LPT_SMPT,645,617,0.9565891472868217,1117.990113452188,222.7880238862995,0.19927548661263472
l008_baseline,LRT_MMUR,646,611,0.9458204334365325,1337.6412438625205,276.673616736028,0.20683693629026875
l008_baseline,SPT_SMPT,646,619,0.958204334365325,1105.6541195476575,221.51850192290254,0.2003506322696375
l008_baseline,SPT_SRWT,645,616,0.9550387596899225,1148.485064935065,209.21507734766467,0.18216612800227716
l008_baseline,SRT_SMPT,646,616,0.9535603715170279,1107.900487012987,227.78681464604526,0.20560223351844695
l008_baseline,SRT_SRWT,646,617,0.955108359133127,1154.783468395462,211.94298137973948,0.1835348246491856
l008_baseline,random,646,618,0.9566563467492261,1161.1100323624596,212.06901432311952,0.182643339918123
l008_burst,FIFO_SRWT,2062,985,0.47769156159068865,7375.499289340101,3938.9094397694375,0.534053260023005
l008_burst,LPT_MMUR,2062,971,0.47090203685742,7483.522142121524,3897.2240059364503,0.5207740328582252
l008_burst,LPT_SMPT,2062,960,0.4655674102812803,7553.541249999999,3987.8017737288897,0.5279380414754324
l008_burst,LRT_MMUR,2062,968,0.469447138700291,7597.588842975207,3888.357038860258,0.511788294842444
l008_burst,SPT_SMPT,2062,963,0.4670223084384093,7489.545171339564,4001.6554008947905,0.5342988538486995
l008_burst,SPT_SRWT,2062,987,0.4786614936954413,7431.611955420466,3946.2520792160435,0.5310088985926839
l008_burst,SRT_SMPT,2062,960,0.4655674102812803,7590.174791666666,3963.1469569244236,0.5221417247565372
l008_burst,SRT_SRWT,2062,980,0.475266731328807,7482.483469387755,3961.6611659429914,0.5294580578962709
l008_burst,random,2062,975,0.4728419010669253,7454.563794871795,3922.991997364773,0.5262537293011712
l008_mf_high,FIFO_SRWT,642,601,0.9361370716510904,1176.0976705490848,240.42289393462087,0.20442425825261146
l008_mf_high,LPT_MMUR,526,487,0.9258555133079848,1351.8835728952772,323.7725945484325,0.23949739536742884
l008_mf_high,LPT_SMPT,489,470,0.9611451942740287,1156.5236170212766,261.75088601194966,0.22632558657652924
l008_mf_high,LRT_MMUR,655,637,0.9725190839694656,1367.4521193092621,300.75856436735563,0.2199408375038953
l008_mf_high,SPT_SMPT,464,440,0.9482758620689655,1142.6515909090908,250.4989081898301,0.21922597420140447
l008_mf_high,SPT_SRWT,655,620,0.9465648854961832,1176.775,235.04263849425115,0.1997345614023506
l008_mf_high,SRT_SMPT,655,418,0.6381679389312978,1155.0246411483254,254.95232044112137,0.2207332305808193
l008_mf_high,SRT_SRWT,655,620,0.9465648854961832,1173.5479032258063,230.54781024026644,0.19645368510867336
l008_mf_high,random,586,398,0.6791808873720137,1246.5680904522612,571.8643688714634,0.45875100867052365
l008_mf_high_burst,FIFO_SRWT,1730,782,0.45202312138728323,7063.471483375959,4181.673185369344,0.5920138837129882
l008_mf_high_burst,LPT_MMUR,1827,824,0.45101258894362345,7228.8847087378645,3689.1571182512375,0.5103355865935992
l008_mf_high_burst,LPT_SMPT,1819,563,0.30951072017592085,6504.854884547069,3593.773504571522,0.5524755845220912
l008_mf_high_burst,LRT_MMUR,1026,456,0.4444444444444444,5561.987499999999,2826.317008217991,0.5081487522613078
l008_mf_high_burst,SPT_SMPT,1663,439,0.2639807576668671,7685.724829157176,4506.229909528894,0.5863116374442268
l008_mf_high_burst,SPT_SRWT,1888,593,0.3140889830508475,6512.197470489039,3664.523572981371,0.5627169000307021
l008_mf_high_burst,SRT_SMPT,1545,698,0.4517799352750809,8037.060028653295,4465.395044055567,0.5556005589277397
l008_mf_high_burst,SRT_SRWT,1539,703,0.4567901234567901,7392.696586059744,4374.255203887259,0.5916995446743618
l008_mf_high_burst,random,408,126,0.3088235294117647,3196.8246031746035,1289.2612273817285,0.4032943271587152
l008_mf_low,FIFO_SRWT,662,633,0.9561933534743202,1162.4535545023696,223.4724520533667,0.19224204802662606
l008_mf_low,LPT_MMUR,562,372,0.6619217081850534,1309.2301075268817,283.08736749556306,0.2162243030221107
l008_mf_low,LPT_SMPT,461,437,0.9479392624728851,1158.6567505720823,254.44022554912655,0.21959931224109097
l008_mf_low,LRT_MMUR,663,475,0.7164404223227753,1357.613894736842,302.4581955571605,0.22278660871822364
l008_mf_low,SPT_SMPT,663,639,0.9638009049773756,1141.7323943661972,255.82815867350644,0.22407015859046614
l008_mf_low,SPT_SRWT,620,589,0.95,1167.1195246179966,240.36161690262804,0.2059443029035946
l008_mf_low,SRT_SMPT,663,639,0.9638009049773756,1143.9754303599375,256.85724144582906,0.22453038293402172
l008_mf_low,SRT_SRWT,475,442,0.9305263157894736,1194.5717194570134,237.5776523561877,0.19888102864529345
l008_mf_low,random,620,579,0.9338709677419355,1193.7834196891192,239.1600868235793,0.20033791965871037
