policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,0,0.02,1,15,0,6,LRT-MMUR,2.04009,0.169,0.14876,0.16467,0.09248,0.09116,0.08452,0.09444,0.169,0.15498
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,1,0.02,2,15,0,6,LRT-MMUR,2.04005,0.16785,0.14865,0.16624,0.09233,0.09145,0.08465,0.09407,0.16785,0.15476
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,2,0.02,3,15,0,1,SPT-SRWT,2.03988,0.16786,0.1485,0.16786,0.09226,0.09172,0.08453,0.09379,0.16691,0.15444
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,3,0.02,4,15,0,1,SPT-SRWT,2.03971,0.16937,0.14834,0.16937,0.09214,0.092,0.08443,0.09354,0.16597,0.1542
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,4,0.02,5,15,0,1,SPT-SRWT,2.0399,0.17049,0.14826,0.17049,0.09168,0.09238,0.08511,0.09319,0.16451,0.15438
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,5,0.02,6,15,0,1,SPT-SRWT,2.04006,0.17144,0.1482,0.17144,0.0912,0.09273,0.0858,0.0929,0.16311,0.15461
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,6,0.02,7,15,0,1,SPT-SRWT,2.03977,0.17266,0.14803,0.17266,0.0911,0.09293,0.08547,0.09282,0.16249,0.1545
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,7,0.02,8,15,0,1,SPT-SRWT,2.0399,0.17331,0.148,0.17331,0.09061,0.09319,0.0861,0.09263,0.1613,0.15485
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,8,0.02,9,15,0,1,SPT-SRWT,2.04002,0.17378,0.14801,0.17378,0.09011,0.09342,0.08671,0.0925,0.16022,0.15525
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,9,0.02,10,15,0,1,SPT-SRWT,2.04013,0.17405,0.14806,0.17405,0.08961,0.09359,0.0873,0.09243,0.15927,0.15569
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,10,0.02,11,15,0,1,SPT-SRWT,2.03865,0.1758,0.14742,0.1758,0.09051,0.0935,0.08418,0.09282,0.16047,0.15531
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,11,0.02,12,15,0,1,SPT-SRWT,2.03875,0.17589,0.14746,0.17589,0.09006,0.09353,0.08468,0.09283,0.15966,0.1559
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,12,0.02,13,15,0,1,SPT-SRWT,2.03886,0.17581,0.14753,0.17581,0.08963,0.09351,0.08518,0.09288,0.15896,0.15651
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,13,0.02,14,15,0,1,SPT-SRWT,2.03899,0.17558,0.14763,0.17558,0.08921,0.09345,0.08567,0.09299,0.15836,0.15711
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,14,0.02,15,15,0,1,SPT-SRWT,2.03913,0.17521,0.14776,0.17521,0.08881,0.09335,0.08615,0.09315,0.15788,0.1577
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,15,21.64,16,15,0,1,SPT-SRWT,2.04727,0.17312,0.14687,0.17312,0.08915,0.09368,0.09881,0.09642,0.14225,0.15971
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,16,27.82,17,15,0,1,SPT-SRWT,2.04445,0.17616,0.14511,0.17616,0.08528,0.11212,0.0837,0.09706,0.15864,0.14192
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,17,30.28,18,15,0,1,SPT-SRWT,2.04769,0.17325,0.14713,0.17325,0.08886,0.09416,0.09929,0.09672,0.14169,0.1589
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,18,37.88,19,15,0,1,SPT-SRWT,2.04753,0.17097,0.14676,0.17097,0.08499,0.11399,0.08499,0.10001,0.15799,0.1403
ckpt:cmp_flow_time/checkpoint_init,checkpoint,0,0,19,37.88,20,15,0,1,SPT-SRWT,2.04646,0.1765,0.1473,0.1765,0.08991,0.09463,0.09516,0.09722,0.14172,0.15755
