timestamp,instance,rule,seed,agv_count,event_id,start_time,duration,agv_a,agv_b,min_centre_distance,zone_a,zone_b,state_a,state_b,a_x,a_z,b_x,b_z
2026-09-20 18:57:18,mfsweep_control_nofail,SPT_SRWT,42,7,0,456.58,0.46,5,6,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-20 18:57:18,mfsweep_control_nofail,SPT_SRWT,42,7,1,929.52,0.44,3,4,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-20 18:57:18,mfsweep_control_nofail,SPT_SRWT,42,7,2,1364.96,0.02,0,6,1.150,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.12,-14.00,-8.34,-15.13
2026-09-20 18:57:18,mfsweep_control_nofail,SPT_SRWT,42,7,3,2189.48,0.44,0,6,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-20 18:57:18,mfsweep_control_nofail,SPT_SRWT,42,7,4,2746.10,0.24,3,5,1.120,BotSpine_Dock0,BotSpine_Transit0,MovingToPickup,ReturningToParking,-8.40,-13.75,-7.24,-14.00
2026-09-20 18:57:18,mfsweep_control_nofail,SPT_SRWT,42,7,5,3638.60,0.44,2,4,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
