timestamp,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale
2026-04-17 16:57:32,LPT_SMPT,42,11521.27,30,15,158,2,316,-0.7208,100.0000
2026-04-17 17:01:50,LPT_SMPT,43,11000.00,30,15,155,2,310,-0.6989,100.0000
2026-04-17 17:06:24,LPT_SMPT,44,11166.67,30,15,157,2,314,-0.6985,100.0000
2026-04-17 17:11:05,LPT_SMPT,42,11266.67,30,15,158,5,316,-0.7046,100.0000
2026-04-17 17:15:43,LPT_SMPT,43,11133.33,30,15,155,5,310,-0.7075,100.0000
2026-04-17 17:20:32,LPT_SMPT,44,11533.34,30,15,157,5,314,-0.7176,100.0000
2026-04-17 17:25:28,LPT_SMPT,42,11700.00,30,15,158,8,316,-0.7321,100.0000
2026-04-17 17:30:07,LPT_SMPT,43,10966.66,30,15,155,8,310,-0.6989,100.0000
2026-04-17 17:35:00,LPT_SMPT,44,11533.34,30,15,157,8,314,-0.7176,100.0000
2026-04-17 17:40:03,LPT_SMPT,42,11700.00,30,15,158,12,316,-0.7321,100.0000
2026-04-17 17:44:45,LPT_SMPT,43,10966.67,30,15,155,12,310,-0.6989,100.0000
2026-04-17 17:49:44,LPT_SMPT,44,11533.34,30,15,157,12,314,-0.7176,100.0000
2026-04-17 17:54:48,LPT_SMPT,42,11700.00,30,15,158,15,316,-0.7321,100.0000
2026-04-17 17:59:35,LPT_SMPT,43,10966.67,30,15,155,15,310,-0.6989,100.0000
2026-04-17 18:04:32,LPT_SMPT,44,11333.34,30,15,157,15,314,-0.7049,100.0000
2026-04-17 18:09:31,LPT_SMPT,42,11266.67,30,15,158,20,316,-0.7046,100.0000
2026-04-17 18:14:23,LPT_SMPT,43,10966.67,30,15,155,20,310,-0.6989,100.0000
2026-04-17 18:19:31,LPT_SMPT,44,11533.34,30,15,157,20,314,-0.7176,100.0000
2026-04-17 18:26:26,LPT_SMPT,42,16533.33,30,5,162,10,324,-1.0062,100.0000
2026-04-17 18:33:38,LPT_SMPT,43,17233.33,30,5,159,10,318,-1.0608,100.0000
2026-04-17 18:40:16,LPT_SMPT,44,15766.67,30,5,166,10,332,-0.9398,100.0000
2026-04-17 18:45:20,LPT_SMPT,42,11799.98,30,10,159,10,318,-0.7191,100.0000
2026-04-17 18:50:21,LPT_SMPT,43,11600.00,30,10,157,10,314,-0.7282,100.0000
2026-04-17 18:55:36,LPT_SMPT,44,12100.00,30,10,160,10,320,-0.7438,100.0000
2026-04-17 19:00:43,LPT_SMPT,42,11700.00,30,15,158,10,316,-0.7321,100.0000
2026-04-17 19:05:31,LPT_SMPT,43,10966.66,30,15,155,10,310,-0.6989,100.0000
2026-04-17 19:10:27,LPT_SMPT,44,11333.34,30,15,157,10,314,-0.7049,100.0000
2026-04-17 19:15:38,LPT_SMPT,42,11733.34,30,20,164,10,328,-0.7012,100.0000
2026-04-17 19:20:32,LPT_SMPT,43,11133.31,30,20,155,10,310,-0.7054,100.0000
2026-04-17 19:25:21,LPT_SMPT,44,10900.00,30,20,155,10,310,-0.6925,100.0000
2026-04-17 19:30:21,LPT_SMPT,42,11233.34,30,25,158,10,316,-0.6983,100.0000
2026-04-17 19:35:27,LPT_SMPT,43,11433.34,30,25,161,10,322,-0.6977,100.0000
2026-04-17 19:40:20,LPT_SMPT,44,10900.00,30,25,157,10,314,-0.6815,100.0000
2026-04-17 19:49:34,LPT_SMPT,42,20966.69,50,15,287,3,574,-0.7259,100.0000
2026-04-17 19:58:12,LPT_SMPT,43,19466.69,50,15,280,3,560,-0.6893,100.0000
2026-04-17 20:07:02,LPT_SMPT,44,19933.34,50,15,277,3,554,-0.7136,100.0000
2026-04-17 20:16:02,LPT_SMPT,42,20200.00,50,15,287,5,574,-0.6992,100.0000
2026-04-17 20:24:45,LPT_SMPT,43,19466.69,50,15,280,5,560,-0.6893,100.0000
2026-04-17 20:33:26,LPT_SMPT,44,19333.31,50,15,277,5,554,-0.6919,100.0000
2026-04-17 20:42:37,LPT_SMPT,42,20200.00,50,15,287,10,574,-0.6992,100.0000
2026-04-17 20:51:35,LPT_SMPT,43,19533.38,50,15,280,10,560,-0.6917,100.0000
2026-04-17 21:00:33,LPT_SMPT,44,19600.00,50,15,277,10,554,-0.6992,100.0000
2026-04-17 21:09:59,LPT_SMPT,42,20200.00,50,15,287,15,574,-0.6992,100.0000
2026-04-17 21:19:09,LPT_SMPT,43,19533.31,50,15,280,15,560,-0.6917,100.0000
2026-04-17 21:28:22,LPT_SMPT,44,19600.00,50,15,277,15,554,-0.6992,100.0000
2026-04-17 21:38:11,LPT_SMPT,42,20666.63,50,15,287,20,574,-0.7154,100.0000
2026-04-17 21:47:32,LPT_SMPT,43,19466.63,50,15,280,20,560,-0.6893,100.0000
2026-04-17 21:56:50,LPT_SMPT,44,19366.63,50,15,277,20,554,-0.6931,100.0000
2026-04-17 22:06:47,LPT_SMPT,42,20166.69,50,15,287,30,574,-0.6980,100.0000
2026-04-17 22:16:38,LPT_SMPT,43,20166.69,50,15,280,30,560,-0.7107,100.0000
2026-04-17 22:26:12,LPT_SMPT,44,19633.31,50,15,277,30,554,-0.7028,100.0000
2026-04-17 22:38:42,LPT_SMPT,42,27900.00,50,5,276,15,552,-1.0048,100.0000
2026-04-17 22:50:59,LPT_SMPT,43,27400.00,50,5,279,15,558,-0.9737,100.0000
2026-04-17 23:03:42,LPT_SMPT,44,28266.69,50,5,278,15,556,-1.0072,100.0000
2026-04-17 23:13:14,LPT_SMPT,42,20800.00,50,10,282,15,564,-0.7317,100.0000
2026-04-17 23:22:43,LPT_SMPT,43,20633.31,50,10,279,15,558,-0.7276,100.0000
2026-04-17 23:32:14,LPT_SMPT,44,20700.00,50,10,277,15,554,-0.7425,100.0000
2026-04-17 23:41:39,LPT_SMPT,42,20200.00,50,15,287,15,574,-0.6992,100.0000
2026-04-17 23:50:49,LPT_SMPT,43,19533.31,50,15,280,15,560,-0.6917,100.0000
2026-04-18 00:00:02,LPT_SMPT,44,19600.00,50,15,277,15,554,-0.6992,100.0000
2026-04-18 00:09:42,LPT_SMPT,42,20500.00,50,20,287,15,574,-0.7038,100.0000
2026-04-18 00:18:54,LPT_SMPT,43,19433.31,50,20,279,15,558,-0.6882,100.0000
2026-04-18 00:28:13,LPT_SMPT,44,19733.38,50,20,277,15,554,-0.7064,100.0000
2026-04-18 00:37:37,LPT_SMPT,42,19633.31,50,25,282,15,564,-0.6903,100.0000
2026-04-18 00:46:36,LPT_SMPT,43,18766.63,50,25,273,15,546,-0.6813,100.0000
2026-04-18 00:55:38,LPT_SMPT,44,19400.00,50,25,274,15,548,-0.7019,100.0000
