global_step,env,seed,seed_index,return,length,makespan,mean_flow_time,total_flow_time,jobs_exited,deadlock,timed_out,truncated
368,0,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False,False
368,1,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False,False
368,2,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False,False
368,3,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False,False
5112,0,14272600,0,-341.3293237500082,1186,11554.275390625,891.1993309399478,341329.34375,383.0,False,False,False
5112,1,8765120,0,-262.44904250000786,1186,11351.4150390625,685.2455939947781,262449.0625,383.0,False,False,False
5112,2,16432874,0,-269.9926675000076,1186,11355.7158203125,704.9417428198434,269992.6875,383.0,False,False,False
5112,3,8458037,0,-263.42807375000837,1186,11341.015625,687.8018113577024,263428.09375,383.0,False,False,False
9856,0,10690074,1,-280.9811987500083,1186,11842.435546875,733.6324249347258,280981.21875,383.0,False,False,False
9856,1,14928442,1,-282.961105000008,1186,11738.955078125,738.8018929503917,282961.125,383.0,False,False,False
9856,2,1365194,1,-362.4078550000078,1186,11665.015625,946.2346605744125,362407.875,383.0,False,False,False
9856,3,15016201,1,-280.87385500000806,1186,11350.2353515625,733.3521540469974,280873.875,383.0,False,False,False
14600,0,8580335,2,-287.0609175000076,1186,11359.6357421875,749.506364229765,287060.9375,383.0,False,False,False
14600,1,16658978,2,-290.3806362500083,1186,11346.255859375,758.1740372062663,290380.65625,383.0,False,False,False
14600,2,4820650,2,-272.9954487500081,1186,11504.755859375,712.7819027415144,272995.46875,383.0,False,False,False
14600,3,16016265,2,-286.84116750000805,1186,11498.935546875,748.9326044386423,286841.1875,383.0,False,False,False
19344,0,4533572,3,-258.28740187500824,1186,11350.9951171875,674.3796915796345,258287.421875,383.0,False,False,False
19344,1,9351654,3,-272.91654250000795,1186,11354.8955078125,712.5758812010444,272916.5625,383.0,False,False,False
19344,2,6757761,3,-279.11694875000825,1186,11362.2958984375,728.764931462141,279116.96875,383.0,False,False,False
19344,3,14436754,3,-266.1171362500081,1186,11337.4755859375,694.8228622715404,266117.15625,383.0,False,False,False
24088,0,5171442,4,-266.8014175000081,1186,11338.5751953125,696.6094973890339,266801.4375,383.0,False,False,False
24088,1,5089572,4,-276.03291750000744,1186,11372.9951171875,720.7126305483029,276032.9375,383.0,False,False,False
