timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released
2026-09-19 19:07:23,mfsweep_shard0,SPT_SMPT,59,6124.94,137,15,274,5,658,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,109,6916.5,0,0.00000,0.0,0.0,-1.0,1105.05,2982.75,3865.09,411.20,0,1105.05,2982.75,3865.09,0,-1.0,-1.0,1
2026-09-19 19:12:22,mfsweep_shard0,SPT_SMPT,60,6774.18,137,15,274,5,785,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,110,7144.7,0,0.00000,0.0,0.0,-1.0,1227.64,3871.52,5054.70,505.13,0,1227.64,3871.52,5054.70,0,-1.0,-1.0,0
2026-09-19 19:17:56,mfsweep_shard0,SPT_SMPT,61,7746.10,137,15,274,5,960,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,131,8538.9,0,0.00000,0.0,0.0,-1.0,1775.86,5105.60,5976.73,725.48,0,1775.86,5105.60,5976.73,0,-1.0,-1.0,0
2026-09-19 19:22:38,mfsweep_shard0,SPT_SMPT,62,6727.72,137,15,274,5,730,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,122,7528.3,0,0.00000,0.0,0.0,-1.0,1275.60,4251.70,5576.47,469.00,0,1275.60,4251.70,5576.47,0,-1.0,-1.0,0
2026-09-19 19:26:55,mfsweep_shard0,SPT_SMPT,63,5980.42,137,15,274,5,729,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,114,6689.3,0,0.00000,0.0,0.0,-1.0,1085.37,3386.35,4899.25,433.65,0,1085.37,3386.35,4899.25,0,-1.0,-1.0,1
2026-09-19 19:32:03,mfsweep_shard0,SPT_SMPT,64,7183.52,137,15,274,5,905,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,136,7784.3,0,0.00000,0.0,0.0,-1.0,1569.99,4537.16,5606.88,854.78,0,1569.99,4537.16,5606.88,0,-1.0,-1.0,1
2026-09-19 19:36:46,mfsweep_shard0,SPT_SMPT,65,7022.76,137,15,274,5,859,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,136,8249.8,0,0.00000,0.0,0.0,-1.0,1373.73,4500.13,5278.66,678.38,0,1373.73,4500.13,5278.66,0,-1.0,-1.0,1
2026-09-19 19:41:47,mfsweep_shard0,SPT_SMPT,66,7817.14,137,15,274,5,936,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,135,8244.2,0,0.00000,0.0,0.0,-1.0,1951.23,5398.89,6203.31,1075.83,0,1951.23,5398.89,6203.31,0,-1.0,-1.0,1
2026-09-19 19:46:40,mfsweep_shard0,SPT_SMPT,67,7659.72,137,15,274,5,851,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,123,7326.7,0,0.00000,0.0,0.0,-1.0,1690.54,4953.07,5827.66,599.08,0,1690.54,4953.07,5827.66,0,-1.0,-1.0,1
2026-09-19 19:51:25,mfsweep_shard0,SPT_SMPT,68,7226.26,137,15,274,5,851,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,131,7766.8,0,0.00000,0.0,0.0,-1.0,1543.40,4918.43,5323.67,690.47,0,1543.40,4918.43,5323.67,0,-1.0,-1.0,0
2026-09-19 19:55:19,mfsweep_shard0,SPT_SMPT,69,6988.84,137,15,274,5,813,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,123,7907.3,0,0.00000,0.0,0.0,-1.0,1418.38,4468.20,5325.14,541.57,0,1418.38,4468.20,5325.14,0,-1.0,-1.0,2
2026-09-19 19:59:21,mfsweep_shard0,SPT_SMPT,70,7294.10,137,15,274,5,897,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,127,7355.9,0,0.00000,0.0,0.0,-1.0,1635.78,4448.47,4771.47,970.58,0,1635.78,4448.47,4771.47,0,-1.0,-1.0,2
2026-09-19 20:03:04,mfsweep_shard0,SPT_SMPT,71,7245.40,137,15,274,5,944,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,133,7468.9,0,0.00000,0.0,0.0,-1.0,1474.79,4785.27,5525.92,752.27,0,1474.79,4785.27,5525.92,0,-1.0,-1.0,0
