timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals
2026-06-12 20:01:59,30j_10m_agv10,LPT_SMPT,42,10793.47,30,10,154,10,308,-0.6922,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:06:44,30j_10m_agv10,LPT_SMPT,43,9900.00,30,10,141,10,282,-0.6950,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:12:01,30j_10m_agv10,LPT_SMPT,44,11033.33,30,10,155,10,310,-0.7032,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
