timestamp,instance,rule,seed,agv_count,event_id,start_time,duration,agv_a,agv_b,min_centre_distance,zone_a,zone_b,state_a,state_b,a_x,a_z,b_x,b_z
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,0,291.16,0.44,1,6,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,1,484.98,0.46,3,5,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,2,510.54,0.44,0,4,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,3,515.92,0.46,4,6,0.933,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,4,637.76,0.46,5,8,0.933,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,5,645.32,0.76,0,8,0.708,BotSpine_Dock1,BotSpine_Dock1,ReturningToParking,MovingToPickup,-3.29,-14.00,-4.33,-14.66
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,6,663.64,0.44,0,3,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,7,729.14,0.46,5,8,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,8,734.68,0.44,1,5,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,9,749.40,0.46,1,2,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,10,966.88,0.46,4,7,0.933,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,11,992.76,0.44,1,7,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,12,995.02,0.62,1,7,0.565,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,MovingToPickup,-8.61,-14.00,-7.57,-14.73
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,13,1012.12,1.42,0,3,0.987,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,14,1059.64,0.46,4,7,0.933,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,15,1151.08,0.46,0,4,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,16,1216.72,0.46,3,6,0.933,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,17,1222.32,0.44,2,3,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,18,1241.74,0.44,2,4,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,19,1279.80,0.44,1,5,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,20,1370.34,0.44,4,5,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,21,1375.80,0.44,5,6,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,22,1611.72,0.46,6,7,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,23,1832.76,0.44,0,8,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,24,1871.46,0.44,1,5,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,25,1875.10,0.66,1,6,0.512,BotSpine_Transit0,BotSpine_Transit0,MovingToPickup,ReturningToParking,-5.35,-15.16,-5.63,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,26,1885.58,0.44,5,6,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,27,1990.66,0.46,0,4,0.933,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,28,2070.68,0.44,1,2,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,29,2075.34,0.70,2,4,0.078,BotSpine_Transit0,BotSpine_Transit0,MovingToPickup,ReturningToParking,-4.76,-14.83,-5.63,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,30,2080.64,0.44,1,4,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,31,2306.86,0.46,3,5,0.933,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,32,2312.48,0.44,3,6,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,33,2382.38,0.46,0,7,0.933,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,34,2387.86,0.44,0,4,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,35,2490.30,0.46,0,1,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,36,2594.78,0.46,0,2,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,37,2600.26,0.44,2,4,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,38,2640.68,0.46,3,5,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,39,2709.28,0.70,4,7,0.370,BotSpine_Transit0,BotSpine_Transit0,ReturningToParking,MovingToPickup,-5.63,-14.00,-4.52,-14.60
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,40,2714.70,0.46,1,4,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,41,2857.46,0.46,4,7,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,42,2956.28,0.40,7,8,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.57,-14.00,-9.60,-14.63
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,43,3019.02,0.46,1,4,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,44,3031.56,0.44,4,5,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,45,3045.26,0.44,5,7,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,46,3058.64,0.44,2,7,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,47,3082.32,0.44,3,8,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,48,3201.56,0.44,2,3,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,49,3382.80,0.46,0,6,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,50,3388.42,0.44,0,7,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,51,3402.06,0.44,1,7,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.73,-14.58
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,52,3503.80,0.46,0,6,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,53,3634.36,0.46,4,6,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 00:46:52,mfsweep_shard0,SPT_SRWT,42,9,54,3645.64,0.44,0,4,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
