global_step,env,seed,seed_index,return,length,makespan,mean_flow_time,total_flow_time,jobs_exited,deadlock,timed_out,truncated
92,0,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False,False
307,0,14272600,0,-30.17048437499998,215,10355.015625,625.451137204142,211402.484375,338.0,False,False,True
417,0,10690074,1,-5.757507343757897,110,1800.019287109375,166.89300722064394,5507.46923828125,33.0,False,False,True
658,0,8580335,2,-19.278544921875003,241,4550.01806640625,241.8224144345238,25391.353515625,105.0,False,False,True
916,0,4533572,3,-66.60901757812502,258,6400.017578125,312.56837107035926,52198.91796875,167.0,False,False,True
1164,0,5171442,4,-22.98682812500001,248,10805.015625,598.3841549295774,212426.375,355.0,False,False,True
1364,0,697011,5,-133.55089843749997,200,7600.01708984375,522.3560316593887,119619.53125,229.0,False,False,True
1605,0,1271567,6,-18.773881835937498,241,4550.01806640625,238.54268973214286,25046.982421875,105.0,False,False,True
1869,0,287122,7,-98.18468164062503,264,6850.01708984375,329.39064545157066,62913.61328125,191.0,False,False,True
1976,0,2948744,8,-5.125323852539061,107,2250.01904296875,168.67159423828124,6746.86376953125,40.0,False,False,True
2124,0,13646277,9,-85.14568750000001,148,8505.0166015625,656.3372587316177,178523.734375,272.0,False,False,True
2383,0,10898894,10,-105.622228515625,259,6850.01708984375,317.1427128232759,55182.83203125,174.0,False,False,True
2587,0,15314369,11,-13.263208007812501,204,4100.0185546875,207.30682963709677,19279.53515625,93.0,False,False,True
2791,0,8454422,12,-133.236375,204,7600.01708984375,535.2340706168832,123639.0703125,231.0,False,False,True
2898,0,10181593,13,-5.327603759765622,107,2250.01904296875,172.53242688301282,6728.7646484375,39.0,False,False,True
