policy,kind,seed,seed_index,makespan,mean_flow_time,total_flow_time,return,decisions,jobs_exited,deadlock,timed_out
SPT-SMPT,pdr,0,0,548.259765625,352.6148681640625,2820.9189453125,0.0,32,8.0,False,False
SPT-SRWT,pdr,0,1,496.8998107910156,307.2223815917969,2457.779052734375,0.0,32,8.0,False,False
LPT-MMUR,pdr,0,2,523.77978515625,369.58984375,2956.71875,0.0,32,8.0,False,False
LPT-SMPT,pdr,0,3,522.5797729492188,381.224853515625,3049.798828125,0.0,32,8.0,False,False
SRT-SRWT,pdr,0,4,496.4598083496094,306.932373046875,2455.458984375,0.0,32,8.0,False,False
SRT-SMPT,pdr,0,5,522.77978515625,332.29486083984375,2658.35888671875,0.0,32,8.0,False,False
LRT-MMUR,pdr,0,6,525.7197875976562,398.1323547363281,3185.058837890625,0.0,32,8.0,False,False
FIFO-SRWT,pdr,0,7,494.8797912597656,328.8748779296875,2630.9990234375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_init,checkpoint,0,8,537.6798095703125,340.42987060546875,2723.43896484375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step10240,checkpoint,0,9,496.8998107910156,307.86737060546875,2462.93896484375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step20480,checkpoint,0,10,496.8998107910156,307.2198791503906,2457.759033203125,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step30720,checkpoint,0,11,496.8998107910156,307.2223815917969,2457.779052734375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step40960,checkpoint,0,12,496.559814453125,309.4898681640625,2475.9189453125,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step51200,checkpoint,0,13,496.559814453125,308.82989501953125,2470.63916015625,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint,checkpoint,0,14,496.559814453125,308.82989501953125,2470.63916015625,0.0,32,8.0,False,False
SPT-SMPT,pdr,1,15,522.77978515625,336.4573669433594,2691.658935546875,0.0,32,8.0,False,False
SPT-SRWT,pdr,1,16,496.8998107910156,307.86737060546875,2462.93896484375,0.0,32,8.0,False,False
LPT-MMUR,pdr,1,17,523.77978515625,369.58984375,2956.71875,0.0,32,8.0,False,False
LPT-SMPT,pdr,1,18,522.5797729492188,381.224853515625,3049.798828125,0.0,32,8.0,False,False
SRT-SRWT,pdr,1,19,496.4598083496094,306.932373046875,2455.458984375,0.0,32,8.0,False,False
SRT-SMPT,pdr,1,20,522.77978515625,332.29486083984375,2658.35888671875,0.0,32,8.0,False,False
LRT-MMUR,pdr,1,21,525.7197875976562,398.1323547363281,3185.058837890625,0.0,32,8.0,False,False
FIFO-SRWT,pdr,1,22,494.8797912597656,328.8748779296875,2630.9990234375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_init,checkpoint,1,23,537.6798095703125,340.42987060546875,2723.43896484375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step10240,checkpoint,1,24,496.8998107910156,307.86737060546875,2462.93896484375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step20480,checkpoint,1,25,496.8998107910156,307.2198791503906,2457.759033203125,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step30720,checkpoint,1,26,496.8998107910156,307.2223815917969,2457.779052734375,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step40960,checkpoint,1,27,496.559814453125,309.4898681640625,2475.9189453125,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint_step51200,checkpoint,1,28,496.559814453125,308.82989501953125,2470.63916015625,0.0,32,8.0,False,False
ckpt:sanity_sb_flow/checkpoint,checkpoint,1,29,496.559814453125,308.82989501953125,2470.63916015625,0.0,32,8.0,False,False
