policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
SPT-SMPT,pdr,0,0,0,0.02,1,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,1,0.02,2,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,2,0.02,3,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,3,0.02,4,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,4,0.02,5,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,5,0.02,6,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,6,0.02,7,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,7,0.02,8,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,8,30.96,9,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,9,50.96,10,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,10,50.96,11,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,11,70.96,12,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,12,70.96,13,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,13,90.96,14,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,14,90.96,15,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,15,110.96,16,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,16,110.96,17,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,17,123.24,18,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,18,130.96,19,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,19,130.96,20,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,20,144.78,21,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,21,150.96,22,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,22,150.96,23,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,23,170.96,24,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,24,170.96,25,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,25,172.64,26,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,26,190.96,27,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,27,233.8,28,8,0,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,28,250.76,29,6,2,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,29,282.76,30,6,2,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,30,346.9,31,3,5,0,SPT-SMPT,,,,,,,,,,
SPT-SMPT,pdr,0,0,31,415.82,32,2,6,0,SPT-SMPT,,,,,,,,,,
SPT-SRWT,pdr,0,1,0,0.02,1,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,1,0.02,2,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,2,0.02,3,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,3,0.02,4,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,4,0.02,5,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,5,0.02,6,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,6,0.02,7,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,7,0.02,8,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,8,31.38,9,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,9,37.46,10,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,10,51.38,11,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,11,57.46,12,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,12,57.46,13,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,13,68.54,14,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,14,77.46,15,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,15,78.82,16,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,16,79.26,17,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,17,81.42,18,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,18,88.54,19,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,19,98.82,20,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,20,99.26,21,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,21,99.26,22,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,22,110.06,23,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,23,119.26,24,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,24,130.06,25,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,25,142.58,26,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,26,154.58,27,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,27,171.54,28,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,28,199.4,29,8,0,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,29,231.4,30,5,3,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,30,295.54,31,3,5,1,SPT-SRWT,,,,,,,,,,
SPT-SRWT,pdr,0,1,31,364.46,32,2,6,1,SPT-SRWT,,,,,,,,,,
LPT-MMUR,pdr,0,2,0,0.02,1,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,1,0.02,2,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,2,0.02,3,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,3,0.02,4,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,4,0.02,5,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,5,0.02,6,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,6,0.02,7,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,7,0.02,8,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,8,31.38,9,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,9,51.38,10,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,10,51.38,11,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,11,71.38,12,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,12,71.38,13,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,13,91.38,14,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,14,91.38,15,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,15,106.84,16,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,16,111.38,17,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,17,111.38,18,8,0,2,LPT-MMUR,,,,,,,,,,
LPT-MMUR,pdr,0,2,18,119.3,19,8,0,2,LPT-MMUR,,,,,,,,,,
