policy,kind,episodes,makespan_mean,makespan_std,total_flow_mean,mean_flow_time_mean,deadlocks,timeouts,makespan_gap_pct,flow_gap_pct
FIFO-SRWT,pdr,2,494.8797912597656,0.0,2630.9990234375,328.8748779296875,0,0,0.0,7.1489705256543346
SRT-SRWT,pdr,2,496.4598083496094,0.0,2455.458984375,306.932373046875,0,0,0.31927290581449275,0.0
ckpt:sanity_sb_flow/checkpoint_step40960,checkpoint,2,496.559814453125,0.0,2475.9189453125,309.4898681640625,0,0,0.3394810665197521,0.8332438484085603
ckpt:sanity_sb_flow/checkpoint_step51200,checkpoint,2,496.559814453125,0.0,2470.63916015625,308.82989501953125,0,0,0.3394810665197521,0.6182215169484447
ckpt:sanity_sb_flow/checkpoint,checkpoint,2,496.559814453125,0.0,2470.63916015625,308.82989501953125,0,0,0.3394810665197521,0.6182215169484447
SPT-SRWT,pdr,2,496.8998107910156,0.0,2460.3590087890625,307.5448760986328,0,0,0.4081838795857555,0.19955635362851426
ckpt:sanity_sb_flow/checkpoint_step10240,checkpoint,2,496.8998107910156,0.0,2462.93896484375,307.86737060546875,0,0,0.4081838795857555,0.3046265694661528
ckpt:sanity_sb_flow/checkpoint_step20480,checkpoint,2,496.8998107910156,0.0,2457.759033203125,307.2198791503906,0,0,0.4081838795857555,0.09367083069849944
ckpt:sanity_sb_flow/checkpoint_step30720,checkpoint,2,496.8998107910156,0.0,2457.779052734375,307.2223815917969,0,0,0.4081838795857555,0.09448613779087572
LPT-SMPT,pdr,2,522.5797729492188,0.0,3049.798828125,381.224853515625,0,0,5.597315182125354,24.204836958467062
SRT-SMPT,pdr,2,522.77978515625,0.0,2658.35888671875,332.29486083984375,0,0,5.637731503535873,8.263216923388974
LPT-MMUR,pdr,2,523.77978515625,0.0,2956.71875,369.58984375,0,0,5.839800777258771,20.4140964607718
LRT-MMUR,pdr,2,525.7197875976562,0.0,3185.058837890625,398.1323547363281,0,0,6.231815661614379,29.71337978595206
SPT-SMPT,pdr,2,535.519775390625,12.739990234375,2756.2889404296875,344.53611755371094,0,0,8.212092077432837,12.251475506981812
ckpt:sanity_sb_flow/checkpoint_init,checkpoint,2,537.6798095703125,0.0,2723.43896484375,340.42987060546875,0,0,8.648568615338926,10.913641081932397
