timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,deadlock_detected,deadlock_sim_time
2026-09-02 14:20:19,agv07_dial_l008,SPT_SMPT,42,15033.34,93,15,609,7,1169,-0.5552,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1099.62,1533.33,1800.0,624.14,6,0,-1.0
2026-09-02 14:26:57,agv07_dial_l010,SPT_SMPT,42,15033.34,120,15,775,7,1502,-0.4884,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1146.43,1700.0,1866.67,665.18,8,0,-1.0
2026-09-02 14:07:57,agv07_dial_l004,SPT_SRWT,42,15004.92,57,15,376,7,722,-0.8014,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.4,14871.6,1099.67,1433.33,1538.25,605.96,4,0,-1.0
2026-09-02 14:14:00,agv07_dial_l006,SPT_SRWT,42,15000.0,77,15,511,7,989,-0.6495,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1113.96,1466.67,1533.33,622.52,3,0,-1.0
2026-09-02 14:20:18,agv07_dial_l008,SPT_SRWT,42,15000.0,93,15,609,7,1161,-0.5541,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1142.25,1466.67,1600.0,649.22,7,0,-1.0
2026-09-02 14:26:56,agv07_dial_l010,SPT_SRWT,42,15033.34,120,15,775,7,1500,-0.4884,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1175.38,1533.34,1800.0,679.88,9,0,-1.0
2026-09-02 14:07:56,agv07_dial_l004,SRT_SMPT,42,15000.11,57,15,376,7,725,-0.8023,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.3,14866.8,1050.96,1433.33,1700.11,574.24,4,0,-1.0
2026-09-02 14:13:59,agv07_dial_l006,SRT_SMPT,42,15000.0,77,15,511,7,987,-0.6489,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1064.84,1533.33,1633.33,589.95,4,0,-1.0
2026-09-02 14:20:14,agv07_dial_l008,SRT_SMPT,42,15000.0,93,15,609,7,1164,-0.5547,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1098.08,1600.0,1800.0,622.99,6,0,-1.0
2026-09-02 14:26:51,agv07_dial_l010,SRT_SMPT,42,15033.33,120,15,775,7,1499,-0.4885,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1137.8,1500.0,1900.0,653.27,8,0,-1.0
2026-09-02 14:07:57,agv07_dial_l004,SRT_SRWT,42,15001.97,57,15,376,7,723,-0.8023,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.4,14868.6,1094.71,1400.0,1601.97,602.89,4,0,-1.0
2026-09-02 14:14:00,agv07_dial_l006,SRT_SRWT,42,15000.0,77,15,511,7,989,-0.6496,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1103.15,1433.33,1566.67,613.06,3,0,-1.0
2026-09-02 14:20:15,agv07_dial_l008,SRT_SRWT,42,15000.0,93,15,609,7,1161,-0.5541,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1160.85,1533.33,1733.33,665.5,7,0,-1.0
2026-09-02 14:26:52,agv07_dial_l010,SRT_SRWT,42,15033.34,120,15,775,7,1499,-0.4884,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1172.97,1533.34,1800.0,675.07,9,0,-1.0
2026-09-02 14:07:57,agv07_dial_l004,random,42,15001.46,57,15,386,7,741,-0.7983,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,47,0.004,250.0,316.3,14868.1,1104.59,1434.79,1801.46,598.42,3,0,-1.0
2026-09-02 14:13:58,agv07_dial_l006,random,42,15000.0,77,15,511,7,991,-0.6483,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,67,0.006,166.7,223.4,14966.7,1154.17,1600.0,1700.0,625.46,5,0,-1.0
2026-09-02 14:20:16,agv07_dial_l008,random,42,15000.0,93,15,622,7,1179,-0.5426,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,83,0.008,125.0,180.3,14966.7,1208.14,1666.67,1766.67,662.79,7,0,-1.0
2026-09-02 14:26:52,agv07_dial_l010,random,42,15033.34,120,15,792,7,1509,-0.4801,100.0,single,fixed,arr,0.0,0.0,0.0,0.0,0.0,0,0.0,110,0.01,100.0,136.4,15000.0,1210.81,1633.33,1866.67,677.18,9,0,-1.0
