timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals
2026-06-12 20:17:18,30j_25m_agv10,SPT_SMPT,42,10362.30,30,25,152,10,304,-0.6730,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:28,30j_25m_agv10,SPT_SMPT,43,10266.67,30,25,149,10,298,-0.6801,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:27:57,30j_25m_agv10,SPT_SMPT,44,10966.67,30,25,161,10,322,-0.6708,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:18,30j_25m_agv10,SPT_SRWT,42,10228.78,30,25,152,10,304,-0.6642,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:22,30j_25m_agv10,SPT_SRWT,43,10233.33,30,25,149,10,298,-0.6756,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:27:47,30j_25m_agv10,SPT_SRWT,44,10933.33,30,25,161,10,322,-0.6708,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:29,30j_25m_agv10,LPT_MMUR,42,10358.48,30,25,152,10,304,-0.6705,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:47,30j_25m_agv10,LPT_MMUR,43,10866.67,30,25,149,10,298,-0.7181,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:28:25,30j_25m_agv10,LPT_MMUR,44,11633.33,30,25,161,10,322,-0.7122,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:36,30j_25m_agv10,LPT_SMPT,42,10227.70,30,25,152,10,304,-0.6641,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:42,30j_25m_agv10,LPT_SMPT,43,10200.00,30,25,149,10,298,-0.6756,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:28:13,30j_25m_agv10,LPT_SMPT,44,11133.33,30,25,161,10,322,-0.6832,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:33,30j_25m_agv10,SRT_SRWT,42,10264.22,30,25,152,10,304,-0.6643,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:33,30j_25m_agv10,SRT_SRWT,43,10166.67,30,25,149,10,298,-0.6711,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:27:54,30j_25m_agv10,SRT_SRWT,44,10933.33,30,25,161,10,322,-0.6708,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:42,30j_25m_agv10,SRT_SMPT,42,10428.24,30,25,152,10,304,-0.6773,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:48,30j_25m_agv10,SRT_SMPT,43,10133.33,30,25,149,10,298,-0.6711,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:28:16,30j_25m_agv10,SRT_SMPT,44,11100.00,30,25,161,10,322,-0.6812,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:48,30j_25m_agv10,LRT_MMUR,42,10661.13,30,25,152,10,304,-0.6926,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:23:08,30j_25m_agv10,LRT_MMUR,43,10933.33,30,25,149,10,298,-0.7226,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:28:50,30j_25m_agv10,LRT_MMUR,44,11733.34,30,25,161,10,322,-0.7184,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:40,30j_25m_agv10,SDT_SRWT,42,10328.07,30,25,152,10,304,-0.6707,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:22:42,30j_25m_agv10,SDT_SRWT,43,10233.33,30,25,149,10,298,-0.6756,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:28:05,30j_25m_agv10,SDT_SRWT,44,11000.00,30,25,161,10,322,-0.6749,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:17:55,30j_25m_agv10,Random,42,10429.84,30,25,152,10,304,-0.6752,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:23:10,30j_25m_agv10,Random,43,10500.00,30,25,149,10,298,-0.6935,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
2026-06-12 20:28:40,30j_25m_agv10,Random,44,11100.00,30,25,161,10,322,-0.6812,100.0000,none,0.00,0.0,0.0,0.000,0.000,0,0.0,0
