instance,rule,mean,std,n,cv
med_agv10_multiple,SRT_SMPT,3947.745045045045,1589.0452096514232,111,0.40251971480425014
med_agv10_multiple,random,4688.261635220126,2091.817355485105,159,0.44618187256669367
med_agv10_multiple,LPT_SMPT,5560.394672131148,2050.2549495014127,244,0.3687247165704527
med_agv10_multiple,SRT_SRWT,6186.744237918216,3281.529524260813,269,0.5304129923697991
med_agv10_multiple,SPT_SRWT,7929.86744966443,3912.7533114345833,298,0.4934197622181138
med_agv10_multiple,SDT_SRWT,8070.440129449838,4053.3202503812413,309,0.5022427755321884
med_agv10_multiple,SPT_SMPT,8480.522831050228,3750.1012452423342,219,0.4422016566610577
med_agv10_single,SDT_SRWT,2018.1787878787877,599.1317534344888,33,0.29686753078215034
med_agv10_single,SRT_SRWT,4611.112785388128,1576.1554691574845,219,0.3418167246205876
med_agv10_single,LPT_SMPT,4839.316666666667,2170.996764557799,156,0.4486163882416868
med_agv10_single,SRT_SMPT,6043.8753164556965,2761.6981113636275,316,0.45694160894489916
med_agv10_single,random,6682.546979865771,2393.841288049937,149,0.35822288945554415
med_agv10_single,SPT_SRWT,7523.110222222223,3460.374775033721,225,0.4599659811991395
med_agv10_single,SPT_SMPT,7734.190962671906,3357.23896042544,509,0.4340775882867037
med_agv11_multiple,SDT_SRWT,1600.0,225.60388737785536,11,0.1410024296111596
med_agv11_multiple,SPT_SMPT,1800.0105263157893,358.4901484695327,19,0.19916002891565318
med_agv11_multiple,LPT_SMPT,2338.6,799.5580459784574,19,0.3418960258182064
med_agv11_multiple,random,2619.2894736842104,904.6669595275483,19,0.34538639910428537
med_agv11_multiple,SRT_SMPT,3025.4862745098035,883.7093252918878,51,0.2920883603859907
med_agv11_multiple,SRT_SRWT,3555.2954545454545,1143.3878836129472,88,0.32160136850261567
med_agv11_multiple,SPT_SRWT,3646.3739130434783,1164.0809691936697,69,0.31924344484519945
med_agv11_single,SPT_SRWT,1716.6615384615384,453.7531408833866,26,0.26432300760348915
med_agv11_single,SDT_SRWT,2009.2,608.395591465196,29,0.3028048932237687
med_agv11_single,SRT_SMPT,2383.3399999999997,454.16489152031016,30,0.19055816271296175
med_agv11_single,LPT_SMPT,2549.994117647059,887.9001834226217,34,0.348196953584312
med_agv11_single,random,2600.752272727273,656.213979383936,44,0.2523169877674657
med_agv11_single,SRT_SRWT,2715.0612903225806,649.0434883618709,31,0.23905297853690702
med_agv11_single,SPT_SMPT,3387.2404255319148,875.4166068245236,47,0.2584453705222453
med_agv11_single,LPT_MMUR,9800.0,,1,
