policy,kind,seed,seed_index,makespan,mean_flow_time,total_flow_time,return,decisions,jobs_exited,deadlock,timed_out
ckpt:cmp_flow_time/checkpoint_init,checkpoint,7,0,585.1797485351562,363.5198567708333,5452.7978515625,0.0,102,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,7,1,585.039794921875,361.22119140625,5418.31787109375,0.0,102,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,7,2,570.8997802734375,373.978515625,5609.677734375,0.0,102,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,7,3,558.6397705078125,360.0758463541667,5401.1376953125,0.0,102,15.0,False,False
ckpt:cmp_flow_time/checkpoint,checkpoint,7,4,570.3397827148438,359.5891927083333,5393.837890625,0.0,102,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,7,5,594.5997924804688,364.21985677083336,5463.2978515625,0.0,102,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,7,6,574.9797973632812,361.26653645833335,5418.998046875,0.0,102,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,7,7,588.1997680664062,360.10784505208335,5401.61767578125,0.0,102,15.0,False,False
ckpt:cmp_time_penalty/checkpoint,checkpoint,7,8,588.1997680664062,360.10784505208335,5401.61767578125,0.0,102,15.0,False,False
ckpt:cmp_flow_time/checkpoint_init,checkpoint,8,9,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,8,10,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,8,11,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,8,12,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_flow_time/checkpoint,checkpoint,8,13,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,8,14,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,8,15,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,8,16,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_time_penalty/checkpoint,checkpoint,8,17,519.4197998046875,318.6518880208333,4779.7783203125,0.0,88,15.0,False,False
ckpt:cmp_flow_time/checkpoint_init,checkpoint,9,18,540.4397583007812,336.43854166666665,5046.578125,0.0,90,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,9,19,540.5997924804688,336.5625325520833,5048.43798828125,0.0,90,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,9,20,540.4397583007812,336.43854166666665,5046.578125,0.0,90,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,9,21,540.5997924804688,336.5625325520833,5048.43798828125,0.0,90,15.0,False,False
ckpt:cmp_flow_time/checkpoint,checkpoint,9,22,540.4397583007812,336.43854166666665,5046.578125,0.0,90,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,9,23,540.5997924804688,336.5625325520833,5048.43798828125,0.0,90,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,9,24,540.4397583007812,336.43854166666665,5046.578125,0.0,90,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,9,25,540.5997924804688,336.5625325520833,5048.43798828125,0.0,90,15.0,False,False
ckpt:cmp_time_penalty/checkpoint,checkpoint,9,26,540.4397583007812,336.43854166666665,5046.578125,0.0,90,15.0,False,False
