exp,scenario,failures,layout,agv,rule,seed,protocol,collisions,collision_s,near_misses,min_centre,parking_overlaps,deadlock,stalled,unfinished,makespan,jobs,flow,p95,flow_pen,failures_n,throughput,agv_busy,agv_route_wait,machine_util,transport_share,flow_quiet,flow_bottleneck,flow_standoff,flow_quiet_2b,flow_speed_trap,flow_burst,flow_starvation,flow_quiet_6b,flow_quiet_7_cooldown
E1_hold,compound_scenario_v2_fail,True,C,15,LRT_MMUR,42,holdPrevious,0,0.0,1220,2.094,0,1,True,True,12218.2,533,510.61,3205.66,9632.3,217,43.62344698891817,0.10870155451157561,0.6486460089593121,0.03539333333333334,0.673677006415623,117.18148148148148,253.58148148148146,985.2459459459459,,,,,,
E1_hold,compound_scenario_v2_fail,True,C,15,SPT_SRWT,43,holdPrevious,0,0.0,2212,2.094,0,0,True,True,37000.01,533,5127.84,23768.48,19299.89,635,14.405401512053645,0.10106026097470425,0.7755297543613275,0.03299333333333333,0.9461800853382913,5456.176,202.42962962962963,3481.2026666666666,126.95,454.21746031746034,14660.786206896551,25784.706666666665,,
E1_hold,compound_scenario_v2_fail,True,C,9,LRT_MMUR,44,holdPrevious,0,0.0,1109,2.101,0,0,False,False,17384.77,533,1208.81,4173.12,1208.81,300,30.659019360049054,0.590858294677212,0.18363749164099127,0.10913333333333332,0.41354037666187027,287.20533333333333,900.6925925925926,1486.9960317460318,184.775,963.3674603174603,1311.5600000000002,2607.5843373493976,206.42499999999998,326.82666666666665
E1_hold,compound_scenario_v2_fail,True,C,3,SPT_SRWT,46,holdPrevious,0,0.0,17,2.15,0,0,False,False,20938.59,533,2728.13,5028.72,2728.13,368,25.45539121784227,0.9521139357202816,0.019656210534392874,0.09118666666666668,0.9609952974838832,1948.2906666666665,2172.65,2275.7960317460315,1126.2749999999999,3136.0261904761905,2499.836666666667,3537.3048192771084,4153.316666666667,5120.86
E1_hold,compound_scenario_v2_fail,True,C,15,LRT_MMUR,44,holdPrevious,0,0.0,831,2.094,0,1,True,True,20494.11,533,2265.92,8365.73,16424.4,359,26.007472390847905,0.0754685777198099,0.7855777424180247,0.025480000000000006,0.93029359473498,116.72222222222223,206.07777777777778,3429.608771929825,7867.714285714285,10366.5,,,,
E1_hold,compound_scenario_v2_fail,True,C,7,LRT_MMUR,42,holdPrevious,0,0.0,823,2.106,0,0,False,False,17471.05,533,1378.12,4423.19,1378.12,314,30.50761116246591,0.7051122530455485,0.10673591864418976,0.10744,0.424980303922021,421.58666666666664,674.3037037037037,1387.0960317460317,152.45833333333334,1000.7103174603175,1777.2033333333334,3636.887951807229,310.3666666666667,327.35999999999996
E1_hold,compound_scenario_v2_fail,True,C,12,SPT_SRWT,43,holdPrevious,0,0.0,2049,2.096,0,0,True,True,37000.01,533,7501.49,18635.65,11984.38,635,14.405401512053645,0.1615221635525684,0.7320592165605722,0.04506666666666667,0.9426992340784666,2234.7946666666667,9627.340740740741,7225.847863247863,125.05,1801.0869565217392,6575.756666666667,16178.5578313253,15991.241666666667,
E1_hold,compound_scenario_v2_fail,True,C,15,SPT_SRWT,42,holdPrevious,0,0.0,2355,2.094,0,1,True,True,33534.07,533,3402.81,11517.69,14822.16,574,15.89428303811616,0.11484224849533624,0.7444732874158527,0.03681333333333334,0.9536470849573787,3609.137333333333,241.92222222222222,2491.8324675324675,122.09166666666665,217.64285714285714,4798.156666666667,10598.270212765958,,
E1_hold,compound_scenario_v2_fail,True,C,12,SPT_SRWT,46,holdPrevious,0,0.0,2663,2.101,0,0,True,False,26031.01,533,4890.25,11691.66,4890.25,457,20.475578934509265,0.2468151126931559,0.5810677982401247,0.07332666666666666,0.948544097597099,1573.8880000000001,5972.437037037037,5395.1087301587295,127.5,5414.651587301587,860.2333333333333,6035.4795180722895,10291.716666666667,10142.553333333333
E1_hold,compound_scenario_v2_fail,True,C,7,LRT_MMUR,45,holdPrevious,0,0.0,897,2.101,0,0,False,False,17153.61,533,1276.42,4164.86,1276.42,307,31.0721766438668,0.6756632735450022,0.1166403373483982,0.11113333333333335,0.326734036903556,205.42399999999998,558.3203703703704,1579.3960317460317,286.1666666666667,933.9738095238095,1458.65,3210.7072289156627,124.41666666666667,194.28000000000003
E1_hold,compound_scenario_v2_fail,True,C,5,LRT_MMUR,46,holdPrevious,0,0.0,252,2.139,0,0,False,False,18250.17,533,1406.2,3221.52,1406.2,325,29.205207403547476,0.8441340546416829,0.058718137968029896,0.10325999999999999,0.6477912453545932,604.5213333333334,991.6833333333334,1423.8936507936507,640.1,1478.1587301587301,1469.09,2398.385542168675,498.8833333333334,1876.5800000000002
E1_hold,compound_scenario_v2_fail,True,C,9,LRT_MMUR,42,holdPrevious,0,0.0,1644,2.101,0,0,False,False,17162.83,533,1237.05,4041.5,1237.05,309,31.0554844393378,0.5961156237701539,0.13914540252912186,0.10847333333333335,0.3416385035860627,295.2373333333333,443.0907407407408,1403.4388888888889,150.56666666666666,845.4706349206349,1654.93,3300.251807228916,181.58333333333334,157.16
E1_hold,compound_scenario_v2_fail,True,C,15,LRT_MMUR,45,holdPrevious,0,0.0,692,2.094,0,1,True,True,11490.0,533,265.13,972.94,9517.67,209,46.3881636205396,0.08474580794894113,0.6845402959094865,0.028460000000000003,0.531353830963884,128.24814814814815,310.6037037037037,441.36428571428576,,,,,,
E1_hold,compound_scenario_v2_fail,True,C,7,LRT_MMUR,43,holdPrevious,0,0.0,951,1.838,0,0,False,False,17814.67,533,1465.34,4123.38,1465.34,320,29.91916212873997,0.6766651144413967,0.1147585509181879,0.10637333333333333,0.39388485823500685,322.06,490.3240740740741,1831.1746031746031,430.3833333333334,1294.6023809523808,1731.3233333333333,3301.832530120482,121.7,262.12
E1_hold,compound_scenario_v2_fail,True,C,5,LRT_MMUR,45,holdPrevious,0,0.0,277,2.106,0,0,False,False,17490.87,533,1209.16,3849.28,1209.16,315,30.47304107800241,0.8203565631669552,0.07261365500972794,0.10875333333333333,0.5048903021911011,391.4026666666667,844.5425925925927,1564.3484126984126,439.1666666666667,977.0833333333334,1394.6233333333332,2237.1843373493975,146.51666666666668,983.0333333333333
E1_hold,compound_scenario_v2_fail,True,C,5,SPT_SRWT,46,holdPrevious,0,0.0,292,2.101,0,0,False,False,15939.49,533,422.5,1183.94,422.5,278,33.43896197431662,0.8164686574037188,0.05119486257088528,0.11875333333333334,0.6274239186618424,263.1186666666667,574.7148148148148,350.09682539682535,129.04166666666666,254.89126984126983,814.4666666666667,822.5012048192772,154.57500000000002,139.41333333333333
E1_hold,compound_scenario_v2_fail,True,C,9,LRT_MMUR,46,holdPrevious,0,0.0,1515,2.101,0,0,True,False,17883.97,533,1111.35,3423.02,1111.35,317,29.803226017489404,0.5751031044374747,0.18276801950449356,0.10482,0.37874542054509636,277.844,526.6796296296296,1328.0841269841271,172.25833333333333,1104.692857142857,1056.0266666666666,2384.069879518072,129.59166666666667,223.8
E1_hold,compound_scenario_v2_fail,True,C,12,LRT_MMUR,43,holdPrevious,0,0.0,574,2.101,0,1,True,True,7538.38,533,182.48,291.6,5369.33,134,70.70484639935901,0.16241663770376835,0.4961388698013807,0.04670666666666666,0.5862778267533933,120.39629629629628,199.40740740740742,263.7733333333333,,,,,,
E1_hold,compound_scenario_v2_fail,True,C,3,LRT_MMUR,44,holdPrevious,0,0.0,22,2.15,0,0,False,False,22470.87,533,3558.32,6540.18,3558.32,396,23.719597861587026,0.9514500328647713,0.023908879955842094,0.08516666666666667,0.9392524249008494,2346.94,2580.6888888888893,3007.588888888889,1748.2333333333333,4263.75,3557.2366666666667,4505.34578313253,5328.883333333333,6628.673333333334
E1_hold,compound_scenario_v2_fail,True,C,12,LRT_MMUR,46,holdPrevious,0,0.0,601,2.101,0,1,True,True,22202.27,533,2566.1,7323.07,18039.26,389,24.006554284764576,0.0821913705220232,0.8137556054703716,0.02298,0.9486438028354075,122.38148148148149,230.59629629629632,4279.8519230769225,8269.457142857143,,,,,
E1_hold,compound_scenario_v2_fail,True,C,3,SPT_SRWT,44,holdPrevious,0,0.0,12,2.15,0,0,False,False,20969.95,533,2913.27,5109.63,2913.27,370,25.417323360332283,0.950999088378052,0.020607583709069403,0.09299333333333333,0.9557230479129609,2016.88,2278.062962962963,2409.784126984127,1182.8833333333334,3296.1595238095238,2877.1566666666668,3968.718072289156,4385.724999999999,5133.473333333333
E1_hold,compound_scenario_v2_fail,True,C,7,SPT_SRWT,43,holdPrevious,0,0.0,1206,2.101,0,0,False,False,15938.65,533,377.5,963.55,377.5,286,33.440724277150196,0.6772109665140128,0.07066237461408946,0.12081333333333331,0.5302395346479344,206.25066666666666,388.11481481481485,348.4166666666667,128.73333333333332,286.77936507936505,927.4433333333333,626.0096385542168,130.975,123.1
E1_hold,compound_scenario_v2_fail,True,C,5,LRT_MMUR,43,holdPrevious,0,0.0,294,2.106,0,0,False,False,17855.71,533,1466.19,3986.06,1466.19,321,29.850395195710504,0.8120007549405764,0.06880891322719736,0.1054266666666667,0.5629615601167016,658.7426666666667,954.2518518518518,1519.4801587301588,536.625,1439.218253968254,1886.8566666666666,2817.366265060241,301.14166666666665,483.22666666666663
E1_hold,compound_scenario_v2_fail,True,C,3,SPT_SRWT,43,holdPrevious,0,0.0,13,2.146,0,0,False,False,20936.59,533,2771.82,5061.92,2771.82,369,25.457822883287108,0.9475572032822281,0.02215037565015761,0.09304666666666668,0.9602478031247832,1979.6653333333334,2154.437037037037,2320.300793650794,1044.1083333333333,3222.253174603175,2654.07,3541.0542168674697,4328.116666666667,5080.66
E1_hold,compound_scenario_v2_fail,True,C,7,SPT_SRWT,44,holdPrevious,0,0.0,1056,2.101,0,0,False,False,16044.21,533,435.9,1407.8,435.9,281,33.22070703387702,0.687555911358143,0.08231879288540851,0.11709333333333333,0.4865660669391775,215.948,546.4166666666666,430.0952380952381,127.02499999999999,296.47063492063495,1148.3066666666666,669.1855421686747,134.75833333333333,130.02666666666667
E1_hold,compound_scenario_v2_fail,True,C,15,LRT_MMUR,46,holdPrevious,0,0.0,788,2.094,0,1,True,True,14159.83,533,342.75,773.01,12007.28,247,37.64169485085626,0.07710695208440589,0.7335292396401182,0.02548,0.6671095638185883,122.51851851851852,235.6185185185185,784.6800000000001,,,,,,
E1_hold,compound_scenario_v2_fail,True,C,7,LRT_MMUR,46,holdPrevious,0,0.0,888,2.101,0,0,False,False,17922.79,533,1128.7,3379.5,1128.7,319,29.73867349893627,0.6986340535469884,0.10483396518383259,0.10558000000000001,0.4163509914741518,300.0626666666667,560.4592592592593,1344.918253968254,217.29999999999998,1165.4888888888888,1077.3433333333332,2307.9975903614454,125.575,300.97999999999996
E1_hold,compound_scenario_v2_fail,True,C,9,SPT_SRWT,43,holdPrevious,0,0.0,2432,2.101,0,0,False,False,15940.29,533,381.75,1024.74,381.75,286,33.437283763344325,0.577538914146341,0.07879112195156633,0.12069999999999999,0.47246279799204016,172.33333333333334,415.19074074074075,340.5698412698413,129.16666666666666,292.66031746031746,1084.7033333333334,611.6614457831325,131.92499999999998,126.38666666666667
E1_hold,compound_scenario_v2_fail,True,C,9,LRT_MMUR,45,holdPrevious,0,0.0,1613,2.101,0,0,False,False,17257.31,533,1290.9,4210.92,1290.9,310,30.885462450405072,0.5748028580996175,0.1570453332529809,0.11128666666666669,0.3145419711752836,201.02533333333332,606.0018518518518,1702.7619047619048,198.11666666666667,882.4785714285714,1512.37,3166.3337349397593,125.70833333333333,162.96
