regime,instance,mean_util,median_util,frac_below_5pct,frac_below_25pct,mean_makespan,total_failures,total_repair_time,repair_frac_of_make
deterministic,brandimarte_mk01,0.235,0.207,0.167,0.5,4689.0,0,0.0,0.0
stochastic_low,brandimarte_mk01,0.213,0.187,0.167,0.667,41470.0,341,4441.1,0.0007
deterministic,brandimarte_mk02,0.225,0.182,0.0,0.667,4797.5,0,0.0,0.0
stochastic_low,brandimarte_mk02,0.223,0.19,0.0,0.667,4861.7,70,876.5,0.0011
deterministic,brandimarte_mk03,0.3,0.269,0.0,0.375,13049.4,0,0.0,0.0
stochastic_low,brandimarte_mk03,0.274,0.267,0.0,0.375,49796.3,288,8961.1,0.0008
deterministic,brandimarte_mk04,0.208,0.196,0.25,0.75,7134.6,0,0.0,0.0
stochastic_low,brandimarte_mk04,0.166,0.154,0.25,0.875,98544.5,853,12725.7,0.0006
deterministic,brandimarte_mk05,0.468,0.484,0.0,0.0,10264.2,0,0.0,0.0
stochastic_low,brandimarte_mk05,0.466,0.476,0.0,0.0,10353.1,45,1122.3,0.001
deterministic,brandimarte_mk06,0.165,0.167,0.2,0.9,11474.1,0,0.0,0.0
stochastic_low,brandimarte_mk06,0.148,0.161,0.3,0.9,65729.6,757,11085.9,0.0006
deterministic,brandimarte_mk07,0.423,0.405,0.0,0.0,11364.2,0,0.0,0.0
stochastic_low,brandimarte_mk07,0.352,0.346,0.0,0.2,84022.2,297,8670.3,0.0008
deterministic,brandimarte_mk08,0.283,0.303,0.1,0.4,22391.4,0,0.0,0.0
stochastic_low,brandimarte_mk08,0.278,0.298,0.1,0.4,22855.6,195,6995.6,0.0011
deterministic,brandimarte_mk09,0.295,0.287,0.1,0.4,22090.1,0,0.0,0.0
stochastic_low,brandimarte_mk09,0.278,0.271,0.1,0.4,40149.4,306,10437.9,0.001
deterministic,brandimarte_mk10,0.188,0.143,0.333,0.6,20437.0,0,0.0,0.0
stochastic_low,brandimarte_mk10,0.169,0.13,0.4,0.667,56458.0,604,20201.6,0.0009
deterministic,brandimarte_mk11,0.594,0.626,0.0,0.0,24534.6,0,0.0,0.0
stochastic_low,brandimarte_mk11,0.591,0.625,0.0,0.0,24709.9,72,3591.9,0.0011
deterministic,brandimarte_mk12,0.342,0.275,0.0,0.4,22463.0,0,0.0,0.0
stochastic_low,brandimarte_mk12,0.336,0.275,0.0,0.4,22834.6,134,7319.6,0.0012
deterministic,brandimarte_mk13,0.365,0.279,0.0,0.4,29446.9,0,0.0,0.0
stochastic_low,brandimarte_mk13,0.342,0.275,0.0,0.4,47225.9,227,13712.1,0.0011
deterministic,brandimarte_mk14,0.234,0.193,0.133,0.733,34372.8,0,0.0,0.0
stochastic_low,brandimarte_mk14,0.184,0.137,0.133,0.867,121826.0,779,48252.0,0.001
deterministic,brandimarte_mk15,0.283,0.235,0.067,0.533,26772.8,0,0.0,0.0
stochastic_low,brandimarte_mk15,0.275,0.232,0.067,0.533,44066.7,341,18798.8,0.0011
