regime,instance,mean_util,frac_below_5pct,mean_makespan,mean_congestion,mean_trip_dur,mean_reroutes,mean_time_waiting,mean_time_idle,mean_row_block_rate,worst_zone,worst_zone_blockrate
deterministic,brandimarte_mk01,0.158,0.333,3867.3,0.003,10.4,0.0,10.2,3075.0,0.018,LeftVert_BotConn,0.648
deterministic,brandimarte_mk02,0.154,0.0,4180.2,0.002,7.7,0.0,7.4,3362.6,0.016,LeftVert_BotConn,0.558
deterministic,brandimarte_mk03,0.12,0.0,10429.6,0.001,6.9,0.0,13.0,8013.4,0.002,LeftVert_BotConn,0.596
deterministic,brandimarte_mk04,0.119,0.375,6300.0,0.003,7.1,0.0,15.9,4769.3,0.008,LeftVert_BotConn,0.755
deterministic,brandimarte_mk05,0.233,0.0,7588.9,0.003,8.9,0.0,19.9,5838.3,0.028,LeftVert_BotConn,0.622
deterministic,brandimarte_mk06,0.095,0.3,10559.3,0.001,7.6,0.0,15.1,7938.6,0.002,LeftVert_BotConn,0.568
deterministic,brandimarte_mk07,0.185,0.0,7209.9,0.003,11.6,0.0,24.8,5071.2,0.024,LeftVert_BotConn,0.63
deterministic,brandimarte_mk08,0.096,0.2,15632.1,0.002,8.6,0.0,30.6,11365.1,0.003,LeftVert_BotConn,0.532
deterministic,brandimarte_mk09,0.097,0.3,16507.4,0.002,7.6,0.0,26.0,12327.4,0.002,LeftVert_BotConn,0.608
deterministic,brandimarte_mk10,0.065,0.467,16487.7,0.001,10.6,0.0,21.0,13616.2,0.003,LeftVert_BotConn,0.64
deterministic,brandimarte_mk11,0.194,0.0,12293.8,0.003,10.9,0.0,42.8,8508.8,0.037,LeftVert_BotConn,0.624
deterministic,brandimarte_mk12,0.097,0.3,13213.6,0.003,9.1,0.0,36.9,9451.1,0.004,LeftVert_BotConn,0.676
deterministic,brandimarte_mk13,0.096,0.4,15982.7,0.002,8.3,0.0,34.1,11717.0,0.002,LeftVert_BotConn,0.693
deterministic,brandimarte_mk14,0.064,0.4,19248.2,0.004,13.9,0.0,82.1,15414.4,0.024,LeftVert_BotConn,0.711
deterministic,brandimarte_mk15,0.065,0.4,19455.6,0.003,11.8,0.0,57.9,15891.8,0.005,LeftVert_BotConn,0.729
stochastic_low,brandimarte_mk01,0.086,0.333,7608.1,0.001,8.3,0.0,10.5,5844.4,0.009,LeftVert_BotConn,0.501
stochastic_low,brandimarte_mk02,0.087,0.167,7967.9,0.001,6.4,0.0,7.3,6159.3,0.012,LeftVert_BotConn,0.4
stochastic_low,brandimarte_mk03,0.046,0.625,29180.2,0.001,6.7,0.0,22.7,19126.9,0.004,LeftVert_BotConn,0.301
stochastic_low,brandimarte_mk04,0.05,0.5,16334.6,0.002,6.0,0.0,25.4,10885.0,0.009,LeftVert_BotConn,0.546
stochastic_low,brandimarte_mk05,0.098,0.0,19548.2,0.001,5.2,0.0,24.2,13966.0,0.02,LeftVert_BotConn,0.348
stochastic_low,brandimarte_mk06,0.049,0.7,21930.9,0.001,8.0,0.0,14.0,14572.8,0.001,LeftVert_BotConn,0.325
stochastic_low,brandimarte_mk07,0.06,0.4,24259.3,0.001,6.5,0.0,33.1,14998.2,0.004,LeftVert_BotConn,0.336
stochastic_low,brandimarte_mk08,0.036,0.8,44844.4,0.001,4.8,0.0,34.1,26626.6,0.001,LeftVert_BotConn,0.322
stochastic_low,brandimarte_mk09,0.035,0.8,48923.5,0.001,4.6,0.0,31.4,32135.6,0.001,LeftVert_BotConn,0.273
stochastic_low,brandimarte_mk10,0.014,0.933,81392.6,0.0,4.3,0.0,29.8,57999.6,0.001,LeftVert_BotConn,0.222
stochastic_low,brandimarte_mk11,0.048,0.6,53555.6,0.001,5.0,0.0,55.2,32998.1,0.01,LeftVert_BotConn,0.338
stochastic_low,brandimarte_mk12,0.031,0.8,45191.4,0.001,4.4,0.0,55.2,28677.2,0.001,LeftVert_BotConn,0.441
stochastic_low,brandimarte_mk13,0.011,1.0,174755.6,0.0,5.7,0.0,53.8,102614.1,0.001,LeftVert_BotConn,0.182
stochastic_low,brandimarte_mk14,0.017,0.933,78619.8,0.002,4.9,0.0,171.7,61338.2,0.014,LeftVert_BotConn,0.495
stochastic_low,brandimarte_mk15,0.018,0.933,73853.1,0.003,4.5,0.0,193.7,56195.0,0.003,LeftVert_BotConn,0.632
