cell,rule,seed,agv,failures,makespan,jobs_censored,watchdog,stall_recoveries,orphan_agvs,first_stall,orphans_released,gridlock,recovered
agv10_LPT_MMUR,LPT_MMUR,42,10,0,4613.06,118,True,200,0,883.0,0,True,False
agv10_LRT_MMUR,LRT_MMUR,42,10,0,4613.06,118,True,200,0,883.0,0,True,False
agv10_SPT_SMPT,SPT_SMPT,42,10,0,3607.98,134,True,170,0,570.7,0,True,False
agv10_SPT_SRWT,SPT_SRWT,42,10,0,3893.36,0,False,0,0,-1.0,0,False,False
agv11_LPT_MMUR,LPT_MMUR,42,11,0,3934.62,124,True,197,0,826.5,0,True,False
agv11_LRT_MMUR,LRT_MMUR,42,11,0,3934.62,124,True,197,0,826.5,0,True,False
agv11_SPT_SMPT,SPT_SMPT,42,11,0,3515.46,131,True,187,0,560.9,0,True,False
agv11_SPT_SRWT,SPT_SRWT,42,11,0,3734.88,121,True,174,0,919.6,0,True,False
agv12_LPT_MMUR,LPT_MMUR,42,12,0,6187.7,126,True,341,0,794.6,0,True,False
agv12_LRT_MMUR,LRT_MMUR,42,12,0,6187.7,126,True,341,0,794.6,0,True,False
agv12_SPT_SMPT,SPT_SMPT,42,12,0,3515.4,131,True,203,0,552.7,0,True,False
agv12_SPT_SRWT,SPT_SRWT,42,12,0,3444.72,126,True,183,0,609.9,0,True,False
agv14_LPT_MMUR,LPT_MMUR,42,14,0,4119.62,117,True,238,0,1097.2,0,True,False
agv14_LRT_MMUR,LRT_MMUR,42,14,0,4119.62,117,True,238,0,1097.2,0,True,False
agv14_SPT_SMPT,SPT_SMPT,42,14,0,3521.86,133,True,238,0,548.1,0,True,False
agv14_SPT_SRWT,SPT_SRWT,42,14,0,9262.2,125,True,605,0,792.9,0,True,False
agv3_LPT_MMUR,LPT_MMUR,42,3,0,5699.4,0,False,0,0,-1.0,0,False,False
agv3_LRT_MMUR,LRT_MMUR,42,3,0,5699.4,0,False,0,0,-1.0,0,False,False
agv3_SPT_SMPT,SPT_SMPT,42,3,0,7621.6,0,False,0,0,-1.0,0,False,False
agv3_SPT_SRWT,SPT_SRWT,42,3,0,6235.36,0,False,0,0,-1.0,0,False,False
agv5_LPT_MMUR,LPT_MMUR,42,5,0,4118.68,0,False,0,0,-1.0,0,False,False
agv5_LRT_MMUR,LRT_MMUR,42,5,0,4280.94,0,False,0,0,-1.0,0,False,False
agv5_SPT_SMPT,SPT_SMPT,42,5,0,7615.84,0,False,0,3,-1.0,0,False,False
agv5_SPT_SRWT,SPT_SRWT,42,5,0,4193.44,0,False,0,0,-1.0,0,False,False
agv7_LPT_MMUR,LPT_MMUR,42,7,0,4038.6,0,False,0,0,-1.0,0,False,False
agv7_LRT_MMUR,LRT_MMUR,42,7,0,3926.12,0,False,0,0,-1.0,0,False,False
agv7_SPT_SMPT,SPT_SMPT,42,7,0,7614.66,0,False,0,5,-1.0,0,False,False
agv7_SPT_SRWT,SPT_SRWT,42,7,0,3808.58,0,False,0,0,-1.0,0,False,False
agv9_LPT_MMUR,LPT_MMUR,42,9,0,4200.82,0,False,0,0,-1.0,0,False,False
agv9_LRT_MMUR,LRT_MMUR,42,9,0,4200.82,0,False,0,0,-1.0,0,False,False
agv9_SPT_SMPT,SPT_SMPT,42,9,0,7613.84,0,False,0,7,-1.0,0,False,False
agv9_SPT_SRWT,SPT_SRWT,42,9,0,3837.62,0,False,0,0,-1.0,0,False,False
