cell,rule,seed,agv,failures,makespan,jobs_censored,watchdog,stall_recoveries,orphan_agvs,first_stall,orphans_released,gridlock,recovered
agv10_LPT_MMUR,LPT_MMUR,42,10,87,4878.64,133,True,216,0,611.7,0,True,False
agv10_LPT_MMUR,LPT_MMUR,43,10,105,5741.86,111,True,217,0,567.8,0,True,False
agv10_LPT_MMUR,LPT_MMUR,44,10,56,3518.5,131,True,140,0,547.2,0,True,False
agv10_LPT_MMUR,LPT_MMUR,45,10,68,3509.12,130,True,148,0,628.4,3,True,False
agv10_LPT_MMUR,LPT_MMUR,46,10,75,4221.52,132,True,195,0,579.0,0,True,False
agv10_LPT_MMUR,LPT_MMUR,47,10,107,5821.9,94,True,200,0,1465.8,0,True,False
agv10_LPT_MMUR,LPT_MMUR,48,10,82,4375.66,122,True,189,0,1062.0,2,True,False
agv10_LPT_MMUR,LPT_MMUR,49,10,78,4391.88,108,True,156,0,1457.2,1,True,False
agv10_LPT_MMUR,LPT_MMUR,50,10,131,6787.18,103,True,255,0,1636.3,1,True,False
agv10_LPT_MMUR,LPT_MMUR,51,10,86,4507.44,112,True,169,0,561.4,0,True,False
agv10_LPT_MMUR,LPT_MMUR,52,10,141,7675.94,121,True,318,0,804.1,0,True,False
agv10_LPT_MMUR,LPT_MMUR,53,10,122,5738.88,96,True,193,0,554.5,0,True,False
agv10_LPT_MMUR,LPT_MMUR,54,10,80,3890.28,126,True,170,0,838.5,0,True,False
agv10_LPT_MMUR,LPT_MMUR,55,10,91,5292.22,130,True,239,0,711.2,0,True,False
agv10_LPT_MMUR,LPT_MMUR,56,10,69,3933.18,136,True,171,0,463.3,0,True,False
agv10_LPT_MMUR,LPT_MMUR,57,10,86,4335.56,132,True,194,0,676.8,0,True,False
agv10_LPT_MMUR,LPT_MMUR,58,10,67,3817.1,126,True,167,0,826.9,0,True,False
agv10_LPT_MMUR,LPT_MMUR,59,10,102,5888.2,111,True,212,0,1261.3,0,True,False
agv10_LPT_MMUR,LPT_MMUR,60,10,77,4571.52,128,True,199,0,633.1,0,True,False
agv10_LPT_MMUR,LPT_MMUR,61,10,80,4092.14,118,True,165,0,1126.6,1,True,False
agv10_LPT_MMUR,LPT_MMUR,62,10,84,4452.68,109,True,161,0,1367.5,1,True,False
agv10_LPT_MMUR,LPT_MMUR,63,10,73,3429.92,127,True,139,0,563.5,1,True,False
agv10_LPT_MMUR,LPT_MMUR,64,10,94,4924.64,103,True,189,0,1622.1,0,True,False
agv10_LPT_MMUR,LPT_MMUR,65,10,82,3771.6,132,True,168,0,740.7,0,True,False
agv10_LPT_MMUR,LPT_MMUR,66,10,83,4871.78,125,True,212,0,813.1,0,True,False
agv10_LPT_MMUR,LPT_MMUR,67,10,84,5196.96,115,True,202,0,723.9,0,True,False
agv10_LPT_MMUR,LPT_MMUR,68,10,88,4657.32,129,True,207,0,802.5,1,True,False
agv10_LPT_MMUR,LPT_MMUR,69,10,117,6347.86,118,True,272,0,911.1,0,True,False
agv10_LPT_MMUR,LPT_MMUR,70,10,62,3629.92,131,True,161,0,690.9,2,True,False
agv10_LPT_MMUR,LPT_MMUR,71,10,70,3759.84,125,True,156,0,878.8,0,True,False
agv10_LRT_MMUR,LRT_MMUR,42,10,87,4878.64,133,True,216,0,611.7,0,True,False
agv10_LRT_MMUR,LRT_MMUR,43,10,184,10938.92,104,True,457,0,567.8,0,True,False
agv10_LRT_MMUR,LRT_MMUR,44,10,56,3518.5,131,True,140,0,547.2,0,True,False
agv10_LRT_MMUR,LRT_MMUR,45,10,68,3509.12,130,True,148,0,628.4,3,True,False
agv10_LRT_MMUR,LRT_MMUR,46,10,75,4221.52,132,True,195,0,579.0,0,True,False
agv10_LRT_MMUR,LRT_MMUR,47,10,97,5226.44,114,True,226,0,1210.2,0,True,False
agv10_LRT_MMUR,LRT_MMUR,48,10,82,4375.66,122,True,189,0,1062.0,2,True,False
agv10_LRT_MMUR,LRT_MMUR,49,10,78,4391.88,108,True,156,0,1457.2,1,True,False
agv10_LRT_MMUR,LRT_MMUR,50,10,131,6787.18,103,True,255,0,1636.3,1,True,False
agv10_LRT_MMUR,LRT_MMUR,51,10,102,5204.08,111,True,196,0,561.4,0,True,False
agv10_LRT_MMUR,LRT_MMUR,52,10,141,7675.94,121,True,318,0,804.1,0,True,False
agv10_LRT_MMUR,LRT_MMUR,53,10,122,5738.88,96,True,193,0,554.5,0,True,False
agv10_LRT_MMUR,LRT_MMUR,54,10,80,3890.28,126,True,170,0,838.5,0,True,False
agv10_LRT_MMUR,LRT_MMUR,55,10,91,5292.22,130,True,239,0,711.2,0,True,False
agv10_LRT_MMUR,LRT_MMUR,56,10,69,3933.18,136,True,171,0,463.3,0,True,False
agv10_LRT_MMUR,LRT_MMUR,57,10,86,4335.56,132,True,194,0,676.8,0,True,False
agv10_LRT_MMUR,LRT_MMUR,58,10,67,3817.1,126,True,167,0,826.9,0,True,False
agv10_LRT_MMUR,LRT_MMUR,59,10,102,5888.2,111,True,212,0,1261.3,0,True,False
agv10_LRT_MMUR,LRT_MMUR,60,10,77,4571.52,128,True,199,0,633.1,0,True,False
agv10_LRT_MMUR,LRT_MMUR,61,10,80,4092.14,118,True,165,0,1126.6,1,True,False
agv10_LRT_MMUR,LRT_MMUR,62,10,84,4452.68,109,True,161,0,1367.5,1,True,False
agv10_LRT_MMUR,LRT_MMUR,63,10,73,3429.92,127,True,139,0,563.5,1,True,False
agv10_LRT_MMUR,LRT_MMUR,64,10,94,4924.64,103,True,189,0,1622.1,0,True,False
agv10_LRT_MMUR,LRT_MMUR,65,10,82,3771.6,132,True,168,0,740.7,0,True,False
agv10_LRT_MMUR,LRT_MMUR,66,10,83,4871.78,125,True,212,0,813.1,0,True,False
agv10_LRT_MMUR,LRT_MMUR,67,10,84,5196.96,115,True,202,0,723.9,0,True,False
agv10_LRT_MMUR,LRT_MMUR,68,10,89,4722.42,129,True,212,0,802.5,1,True,False
agv10_LRT_MMUR,LRT_MMUR,69,10,68,3779.84,123,True,154,0,909.1,0,True,False
agv10_LRT_MMUR,LRT_MMUR,70,10,208,11965.68,88,True,461,0,1368.2,1,True,False
agv10_LRT_MMUR,LRT_MMUR,71,10,106,5702.48,131,True,266,0,682.1,0,True,False
agv10_SPT_SMPT,SPT_SMPT,42,10,62,3351.34,126,True,154,0,486.4,0,True,False
agv10_SPT_SMPT,SPT_SMPT,43,10,63,3592.86,133,True,153,0,595.7,1,True,False
agv10_SPT_SMPT,SPT_SMPT,44,10,55,3387.22,127,True,151,0,501.8,1,True,False
agv10_SPT_SMPT,SPT_SMPT,45,10,85,4187.36,133,True,171,0,575.1,1,True,False
agv10_SPT_SMPT,SPT_SMPT,46,10,82,4848.14,135,True,234,0,500.4,0,True,False
agv10_SPT_SMPT,SPT_SMPT,47,10,86,4634.52,136,True,217,0,470.0,0,True,False
