timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_parking_overlap_events,agv_min_centre_distance,reservation_protocol,proto,cell,gl,recovered,stall_recovery_count,rec,floor_ev,appr_ev
2026-09-20 19:21:28,mfsweep_shard0,LRT_MMUR,42,4408.98,137,15,274,5,615,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,74,5035.1,0,0.0,0.0,0.0,-1.0,667.63,1062.05,1623.58,459.41,0,667.63,1062.05,1623.58,0,-1.0,-1.0,0,0,0.0,3,2.66,8,2.047,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:26:22,mfsweep_shard0,LRT_MMUR,43,4743.16,137,15,274,5,648,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,85,5868.5,0,0.0,0.0,0.0,-1.0,748.58,1524.27,1967.12,474.19,0,748.58,1524.27,1967.12,0,-1.0,-1.0,0,0,0.0,4,2.66,12,2.047,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:31:35,mfsweep_shard0,LRT_MMUR,44,5314.56,137,15,274,5,673,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,90,5323.5,0,0.0,0.0,0.0,-1.0,842.36,1740.84,2396.47,616.09,0,842.36,1740.84,2396.47,0,-1.0,-1.0,0,0,0.0,3,1.96,11,2.053,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:36:28,mfsweep_shard0,LRT_MMUR,45,5039.74,137,15,274,5,682,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,103,6278.4,0,0.0,0.0,0.0,-1.0,797.33,1361.29,1656.78,573.41,0,797.33,1361.29,1656.78,0,-1.0,-1.0,0,0,0.0,1,0.68,13,2.046,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:41:00,mfsweep_shard0,LRT_MMUR,46,4732.36,137,15,274,5,602,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,81,5276.5,0,0.0,0.0,0.0,-1.0,687.46,1317.03,1996.7,424.47,0,687.46,1317.03,1996.7,0,-1.0,-1.0,0,0,0.0,2,1.3,14,2.053,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:45:38,mfsweep_shard0,LRT_MMUR,47,4852.7,137,15,274,5,696,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,90,5616.2,0,0.0,0.0,0.0,-1.0,709.19,1534.31,2665.41,459.02,0,709.19,1534.31,2665.41,0,-1.0,-1.0,0,0,0.0,2,1.3,21,2.062,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:51:08,mfsweep_shard0,LRT_MMUR,48,5728.08,137,15,274,5,781,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,103,6856.0,0,0.0,0.0,0.0,-1.0,1235.34,2732.79,3375.61,774.64,0,1235.34,2732.79,3375.61,0,-1.0,-1.0,0,0,0.0,4,2.64,29,2.047,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 19:55:48,mfsweep_shard0,LRT_MMUR,49,4848.4,137,15,274,5,594,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,83,5465.4,0,0.0,0.0,0.0,-1.0,642.08,1273.4,1590.01,407.45,0,642.08,1273.4,1590.01,0,-1.0,-1.0,1,0,0.0,1,0.64,21,2.068,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 20:00:50,mfsweep_shard0,LRT_MMUR,50,5174.06,137,15,274,5,665,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,97,6134.0,0,0.0,0.0,0.0,-1.0,904.9,1915.67,2483.94,627.82,0,904.9,1915.67,2483.94,0,-1.0,-1.0,1,0,0.0,3,1.64,14,2.047,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 20:05:40,mfsweep_shard0,LRT_MMUR,51,4978.3,137,15,274,5,624,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,97,6731.8,0,0.0,0.0,0.0,-1.0,795.05,1628.25,1809.65,539.29,0,795.05,1628.25,1809.65,0,-1.0,-1.0,0,0,0.0,0,0.0,18,2.77,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
2026-09-20 20:10:43,mfsweep_shard0,LRT_MMUR,52,5281.02,137,15,274,5,690,0.0,100.0,single,fixed,mf,1.5,900.0,812.4,4.0,0.5,94,6360.0,0,0.0,0.0,0.0,-1.0,968.97,2131.47,4047.47,601.3,0,968.97,2131.47,4047.47,0,-1.0,-1.0,0,0,0.0,0,0.0,23,2.755,holdPrevious,hold,agv5_LRT_MMUR,False,False,0,False,0.0,0.0
