timestamp,rule,seed,makespan,jobs,machines,total_ops,decisions,total_reward,timescale
2026-04-12 15:53:07,LPT_MMUR,42,1493.67,5,5,25,50,-0.5641,100.0000
2026-04-12 15:54:17,LPT_MMUR,42,7003.15,20,15,126,252,-0.5465,100.0000
2026-04-12 15:56:42,LPT_MMUR,42,14471.55,50,15,287,574,-0.4930,100.0000
2026-04-12 16:02:17,LPT_MMUR,42,33558.85,100,20,679,1358,-0.4912,100.0000
2026-04-12 16:03:29,LPT_MMUR,42,7201.48,30,15,158,316,-0.4480,100.0000
2026-04-12 16:06:48,LPT_MMUR,42,1493.61,5,5,25,50,-0.5641,100.0000
2026-04-12 16:07:58,LPT_MMUR,42,7002.26,20,15,126,252,-0.5464,100.0000
2026-04-12 16:10:23,LPT_MMUR,42,14470.58,50,15,287,574,-0.4930,100.0000
2026-04-12 16:15:58,LPT_MMUR,42,33554.83,100,20,679,1358,-0.4912,100.0000
2026-04-12 16:17:10,LPT_MMUR,42,7200.48,30,15,158,316,-0.4479,100.0000
2026-04-12 16:21:19,LPT_MMUR,42,1493.56,5,5,25,50,-0.5641,100.0000
2026-04-12 16:22:29,LPT_MMUR,42,7002.26,20,15,126,252,-0.5464,100.0000
2026-04-12 16:24:54,LPT_MMUR,42,14471.29,50,15,287,574,-0.4930,100.0000
