timestamp,rule,seed,makespan,jobs,machines,total_ops,decisions,total_reward,timescale
2026-04-12 15:53:05,SPT_SMPT,42,1375.66,5,5,25,50,-0.5108,100.0000
2026-04-12 15:53:32,SPT_SMPT,42,2602.36,20,15,126,252,-0.2002,100.0000
2026-04-12 15:54:31,SPT_SMPT,42,5958.27,50,15,287,574,-0.2040,100.0000
2026-04-12 15:56:35,SPT_SMPT,42,12364.53,100,20,679,1358,-0.1793,100.0000
2026-04-12 15:57:13,SPT_SMPT,42,3750.04,30,15,158,316,-0.2302,100.0000
2026-04-12 16:06:46,SPT_SMPT,42,1375.54,5,5,25,50,-0.5108,100.0000
2026-04-12 16:07:13,SPT_SMPT,42,2601.87,20,15,126,252,-0.2001,100.0000
2026-04-12 16:08:11,SPT_SMPT,42,5882.34,50,15,287,574,-0.2014,100.0000
2026-04-12 16:10:13,SPT_SMPT,42,12184.35,100,20,679,1358,-0.1767,100.0000
2026-04-12 16:10:51,SPT_SMPT,42,3749.33,30,15,158,316,-0.2301,100.0000
2026-04-12 16:21:18,SPT_SMPT,42,1375.62,5,5,25,50,-0.5108,100.0000
2026-04-12 16:21:44,SPT_SMPT,42,2601.92,20,15,126,252,-0.2001,100.0000
2026-04-12 16:22:42,SPT_SMPT,42,5874.83,50,15,287,574,-0.2011,100.0000
2026-04-12 16:24:46,SPT_SMPT,42,12297.94,100,20,679,1358,-0.1783,100.0000
2026-04-12 16:25:23,SPT_SMPT,42,3746.34,30,15,158,316,-0.2299,100.0000
