timestamp,rule,seed,makespan,jobs,machines,total_ops,decisions,total_reward,timescale
2026-04-12 15:53:05,SPT_SRWT,42,1375.64,5,5,25,50,-0.5108,100.0000
2026-04-12 15:53:35,SPT_SRWT,42,2952.58,20,15,126,252,-0.2180,100.0000
2026-04-12 15:54:31,SPT_SRWT,42,5564.49,50,15,287,574,-0.1870,100.0000
2026-04-12 15:56:14,SPT_SRWT,42,10355.50,100,20,679,1358,-0.1478,100.0000
2026-04-12 15:56:48,SPT_SRWT,42,3328.76,30,15,158,316,-0.2021,100.0000
2026-04-12 16:06:47,SPT_SRWT,42,1375.62,5,5,25,50,-0.5108,100.0000
2026-04-12 16:07:14,SPT_SRWT,42,2707.11,20,15,126,252,-0.2085,100.0000
2026-04-12 16:08:08,SPT_SRWT,42,5425.44,50,15,287,574,-0.1857,100.0000
2026-04-12 16:09:51,SPT_SRWT,42,10321.08,100,20,679,1358,-0.1503,100.0000
2026-04-12 16:10:25,SPT_SRWT,42,3327.87,30,15,158,316,-0.2021,100.0000
2026-04-12 16:21:18,SPT_SRWT,42,1375.60,5,5,25,50,-0.5108,100.0000
2026-04-12 16:21:44,SPT_SRWT,42,2585.76,20,15,126,252,-0.1945,100.0000
2026-04-12 16:22:37,SPT_SRWT,42,5369.24,50,15,287,574,-0.1833,100.0000
2026-04-12 16:24:20,SPT_SRWT,42,10298.23,100,20,679,1358,-0.1469,100.0000
2026-04-12 16:24:53,SPT_SRWT,42,3204.00,30,15,158,316,-0.1943,100.0000
