timestamp,rule,seed,makespan,jobs,machines,total_ops,decisions,total_reward,timescale
2026-04-12 15:53:07,SRT_SRWT,42,1493.69,5,5,25,50,-0.5641,100.0000
2026-04-12 15:53:35,SRT_SRWT,42,2838.54,20,15,126,252,-0.2146,100.0000
2026-04-12 15:54:34,SRT_SRWT,42,5866.12,50,15,287,574,-0.1941,100.0000
2026-04-12 15:56:19,SRT_SRWT,42,10487.84,100,20,679,1358,-0.1497,100.0000
2026-04-12 15:56:52,SRT_SRWT,42,3321.58,30,15,158,316,-0.2024,100.0000
2026-04-12 16:06:48,SRT_SRWT,42,1493.54,5,5,25,50,-0.5641,100.0000
2026-04-12 16:07:16,SRT_SRWT,42,2801.44,20,15,126,252,-0.2062,100.0000
2026-04-12 16:08:14,SRT_SRWT,42,5818.14,50,15,287,574,-0.1987,100.0000
2026-04-12 16:10:03,SRT_SRWT,42,10853.87,100,20,679,1358,-0.1550,100.0000
2026-04-12 16:10:37,SRT_SRWT,42,3368.62,30,15,158,316,-0.2010,100.0000
2026-04-12 16:21:19,SRT_SRWT,42,1493.47,5,5,25,50,-0.5640,100.0000
2026-04-12 16:21:50,SRT_SRWT,42,3081.97,20,15,126,252,-0.2354,100.0000
2026-04-12 16:22:49,SRT_SRWT,42,5923.62,50,15,287,574,-0.1961,100.0000
2026-04-12 16:24:35,SRT_SRWT,42,10595.66,100,20,679,1358,-0.1538,100.0000
2026-04-12 16:25:07,SRT_SRWT,42,3186.66,30,15,158,316,-0.1938,100.0000
