instance,rule,n_total,n_completed,completion_rate,mean,std,cv
agv07_l008_proc1x,LPT_MMUR,83,76.0,0.9156626506024096,1296.057894736842,342.7488251429057,0.26445487237473997
agv07_l008_proc1x,LPT_SMPT,83,77.0,0.927710843373494,1060.1753246753246,190.71809187208075,0.1798929737687373
agv07_l008_proc1x,LRT_MMUR,83,76.0,0.9156626506024096,1315.792105263158,359.23997430247397,0.27302183442621136
agv07_l008_proc1x,SDT_SRWT,83,76.0,0.9156626506024096,1123.2486842105263,206.4930368436483,0.18383554750280579
agv07_l008_proc1x,SPT_SMPT,83,77.0,0.927710843373494,1054.9753246753248,197.92201225671803,0.1876081910424111
agv07_l008_proc1x,SPT_SRWT,83,76.0,0.9156626506024096,1116.2315789473685,200.1107508093298,0.1792735079203177
agv07_l008_proc1x,SRT_SMPT,83,77.0,0.927710843373494,1067.9675324675325,201.19434205288772,0.18838994251822377
agv07_l008_proc1x,SRT_SRWT,83,76.0,0.9156626506024096,1112.282894736842,208.97147007069836,0.18787618784710294
agv07_l008_proc1x,random,83,76.0,0.9156626506024096,1178.9513157894737,199.91144805866494,0.16956717837394
agv07_l008_proc2x,LPT_MMUR,83,69.0,0.8313253012048193,3906.278260869565,2057.2067420819717,0.5266411158389989
agv07_l008_proc2x,LPT_SMPT,83,76.0,0.9156626506024096,1444.2947368421053,264.79648733558224,0.18333964708238815
agv07_l008_proc2x,LRT_MMUR,83,75.0,0.9036144578313253,5769.332,3190.2256750708216,0.5529627476925962
agv07_l008_proc2x,SDT_SRWT,83,76.0,0.9156626506024096,1486.4026315789474,252.87401868581864,0.17012484592899332
agv07_l008_proc2x,SPT_SMPT,83,76.0,0.9156626506024096,1428.503947368421,305.92855045616545,0.21416010156621876
agv07_l008_proc2x,SPT_SRWT,83,76.0,0.9156626506024096,1499.5565789473685,253.30516211901482,0.16892004321492515
agv07_l008_proc2x,SRT_SMPT,83,76.0,0.9156626506024096,1488.157894736842,354.1838807787682,0.23800154676557367
agv07_l008_proc2x,SRT_SRWT,83,76.0,0.9156626506024096,1503.067105263158,270.0981606197559,0.17969800528131905
agv07_l008_proc2x,random,83,76.0,0.9156626506024096,1619.7407894736843,375.4739160679054,0.23181111354855194
agv07_l008_proc4x,LPT_MMUR,83,20.0,0.24096385542168675,6175.005,2377.297479221001,0.38498713429721937
agv07_l008_proc4x,LPT_SMPT,83,76.0,0.9156626506024096,2376.311842105263,585.0142997607509,0.24618582855794924
agv07_l008_proc4x,LRT_MMUR,83,0.0,0.0,,,
agv07_l008_proc4x,SDT_SRWT,83,74.0,0.891566265060241,2535.1283783783783,549.8238468894315,0.2168820528296607
agv07_l008_proc4x,SPT_SMPT,83,76.0,0.9156626506024096,2394.2999999999997,658.1808120367327,0.27489488035615117
agv07_l008_proc4x,SPT_SRWT,83,73.0,0.8795180722891566,2550.230136986301,500.7739775379184,0.1963642301434415
agv07_l008_proc4x,SRT_SMPT,83,75.0,0.9036144578313253,2403.1106666666665,663.8097445139771,0.2762293695923466
agv07_l008_proc4x,SRT_SRWT,83,74.0,0.891566265060241,2539.6405405405403,537.7846864860339,0.21175622215086043
agv07_l008_proc4x,random,83,73.0,0.8795180722891566,3065.297260273973,873.5057332974415,0.28496607641223304
agv07_l008_proc6x,LPT_MMUR,83,6.0,0.07228915662650602,5905.566666666667,1502.9537340406278,0.2544978016290778
agv07_l008_proc6x,LPT_SMPT,83,66.0,0.7951807228915663,4209.0893939393945,1399.6130147710655,0.3325215702917471
agv07_l008_proc6x,LRT_MMUR,83,0.0,0.0,,,
agv07_l008_proc6x,SDT_SRWT,83,69.0,0.8313253012048193,4186.959420289855,1277.4610332860898,0.3051047084659
agv07_l008_proc6x,SPT_SMPT,83,70.0,0.8433734939759037,3650.9557142857143,1272.5714359534225,0.34855844210161635
agv07_l008_proc6x,SPT_SRWT,83,68.0,0.8192771084337349,4107.839705882353,945.183869838508,0.23009268557510207
agv07_l008_proc6x,SRT_SMPT,83,68.0,0.8192771084337349,3785.2926470588236,1427.6061101599496,0.37714550584859036
agv07_l008_proc6x,SRT_SRWT,83,67.0,0.8072289156626506,4150.747761194029,1101.8509475943688,0.26545842122610785
agv07_l008_proc6x,random,83,59.0,0.7108433734939759,5224.28813559322,2082.718362694554,0.39866069953242733
