instance,rule,n_total,n_completed,completion_rate,mean,std,cv
l008_baseline,FIFO_SRWT,720,690,0.9583333333333334,1180.9657971014492,219.40486131370585,0.18578426390688957
l008_baseline,LPT_MMUR,719,682,0.9485396383866481,1407.3813782991201,308.93616830089866,0.21951133720005667
l008_baseline,LPT_SMPT,719,690,0.9596662030598053,1157.8747826086956,240.32991777486643,0.20756123320468414
l008_baseline,LRT_MMUR,719,687,0.9554937413073713,1390.0519650655021,286.9413090882754,0.20642487928482164
l008_baseline,SPT_SMPT,720,689,0.9569444444444445,1148.1378809869375,236.69310182084524,0.2061538999282771
l008_baseline,SPT_SRWT,719,688,0.9568845618915159,1191.2797965116279,222.28647039065572,0.1865946782960371
l008_baseline,SRT_SMPT,719,690,0.9596662030598053,1141.8352173913045,223.1812019482669,0.19545832756687798
l008_baseline,SRT_SRWT,719,689,0.9582753824756607,1188.0027576197388,226.9415694980134,0.19102781373395925
l008_baseline,random,719,691,0.96105702364395,1195.5612156295224,238.1561325057876,0.1992002830071621
l008_burst,FIFO_SRWT,2091,975,0.46628407460545196,8702.35835897436,4387.404525111702,0.5041627044222059
l008_burst,LPT_MMUR,2091,962,0.4600669536107126,8967.01237006237,4424.5568307499125,0.4934259760276362
l008_burst,LPT_SMPT,2091,952,0.45528455284552843,8928.85136554622,4463.241634199943,0.4998673907174964
l008_burst,LRT_MMUR,2091,959,0.45863223338115733,8935.350573514077,4402.496265869983,0.4927054881226197
l008_burst,SPT_SMPT,2091,956,0.4571975131516021,8871.024476987448,4460.811728959455,0.5028519243218594
l008_burst,SPT_SRWT,2091,982,0.4696317551410808,8747.658248472506,4387.638718714369,0.5015786618642226
l008_burst,SRT_SMPT,2091,960,0.45911047345767575,8972.291041666667,4482.218942614677,0.4995623661559325
l008_burst,SRT_SRWT,2091,971,0.4643711142993783,8799.65736354274,4428.003136610198,0.5032017672592067
l008_burst,random,2091,985,0.47106647537063606,8764.397664974618,4436.693149746184,0.5062176910886473
l008_mf_high,FIFO_SRWT,430,404,0.9395348837209302,1210.3143564356435,236.67499790237872,0.19554836860679967
l008_mf_high,LPT_MMUR,476,433,0.9096638655462185,1381.4459584295612,295.10224874039375,0.21361838075509543
l008_mf_high,LPT_SMPT,277,155,0.5595667870036101,1234.8393548387098,261.8979139612292,0.21209067635800882
l008_mf_high,LRT_MMUR,720,686,0.9527777777777777,1374.3925655976677,287.6085983712202,0.20926233564582097
l008_mf_high,SPT_SMPT,427,392,0.9180327868852459,1155.3563775510204,261.7172788061939,0.22652515179857266
l008_mf_high,SPT_SRWT,540,510,0.9444444444444444,1178.7582352941176,224.4398191438228,0.1904036064594889
l008_mf_high,SRT_SMPT,495,473,0.9555555555555556,1159.1247357293869,251.72133477838162,0.217165009958988
l008_mf_high,SRT_SRWT,536,496,0.9253731343283582,1183.3332661290324,224.59394615328512,0.18979771175366844
l008_mf_high,random,609,507,0.8325123152709359,1261.8660749506903,598.3552052528166,0.4741828131612132
l008_mf_high_burst,FIFO_SRWT,1444,515,0.35664819944598336,5964.854174757282,3425.416781167703,0.5742666427058274
l008_mf_high_burst,LPT_MMUR,1988,897,0.4512072434607646,8494.351505016723,4318.588258073275,0.5084070579752601
l008_mf_high_burst,LPT_SMPT,1715,793,0.46239067055393585,7867.003278688524,4390.798509194863,0.5581284707341364
l008_mf_high_burst,LRT_MMUR,2091,962,0.4600669536107126,8970.20135135135,4435.6482197432415,0.49448702944388384
l008_mf_high_burst,SPT_SMPT,1601,577,0.3603997501561524,6988.792894280763,4224.502606668802,0.6044681349945137
l008_mf_high_burst,SPT_SRWT,2091,663,0.3170731707317073,8692.609049773755,4197.02564940469,0.4828269194407089
l008_mf_high_burst,SRT_SMPT,996,427,0.428714859437751,7566.354566744731,4665.531193981611,0.616615458980382
l008_mf_high_burst,SRT_SRWT,2091,779,0.37254901960784315,7991.311810012838,4495.826018797877,0.5625892376223841
l008_mf_high_burst,random,1666,746,0.4477791116446579,7961.1252010723865,4459.398809019838,0.5601468004069505
l008_mf_low,FIFO_SRWT,720,692,0.9611111111111111,1174.4697976878613,213.39672422157136,0.1816962212580334
l008_mf_low,LPT_MMUR,719,685,0.952712100139082,1385.0595620437957,299.21631276936296,0.21603136859171526
l008_mf_low,LPT_SMPT,720,692,0.9611111111111111,1141.8591040462427,232.34224747215424,0.20347715987798867
l008_mf_low,LRT_MMUR,522,495,0.9482758620689655,1386.802222222222,297.85244433828404,0.2147764400470913
l008_mf_low,SPT_SMPT,544,516,0.9485294117647058,1136.8226744186047,239.1053806133825,0.21032777230245348
l008_mf_low,SPT_SRWT,719,689,0.9582753824756607,1188.9708272859216,228.16465871784808,0.1919009730782734
l008_mf_low,SRT_SMPT,720,691,0.9597222222222223,1136.1794500723588,230.969038982269,0.203285703651443
l008_mf_low,SRT_SRWT,616,586,0.9512987012987013,1172.6953924914676,226.67736587704724,0.19329603179855293
l008_mf_low,random,534,499,0.9344569288389513,1195.9260521042083,242.30881587687205,0.20261187173783402
