instance,rule,mean,std,n,cv
l008_baseline,SPT_SMPT,1102.5486921529175,218.35006067153253,497,0.19804119511961524
l008_baseline,SRT_SMPT,1103.778137651822,225.36606310931725,494,0.204176958594923
l008_baseline,LPT_SMPT,1112.591111111111,224.91297111704827,495,0.2021524069992205
l008_baseline,FIFO_SRWT,1144.9384615384615,199.9524399294338,494,0.174640338014985
l008_baseline,SPT_SRWT,1148.5151821862348,207.35289854682028,494,0.1805399717504104
l008_baseline,SRT_SRWT,1148.5543434343435,207.4467411683775,495,0.18061552102800968
l008_baseline,random,1165.724193548387,210.60288538546124,496,0.18066270439528245
l008_baseline,LPT_MMUR,1328.2891615541923,292.57281009358667,489,0.22026289046223624
l008_baseline,LRT_MMUR,1333.332310838446,273.9862849919799,489,0.20548987132824206
l008_burst,FIFO_SRWT,7246.294027954257,3245.975620751237,787,0.44794975310539903
l008_burst,SPT_SRWT,7305.577313054499,3246.4130246440536,789,0.4443746038855773
l008_burst,random,7340.094094993581,3232.4716311097145,779,0.44038558488159835
l008_burst,SPT_SMPT,7360.65551232166,3326.77803411034,771,0.4519676309455521
l008_burst,LPT_MMUR,7366.966238767651,3239.4326608199863,779,0.4397241083816722
l008_burst,SRT_SRWT,7385.544515306123,3295.53025329245,784,0.4462135793051752
l008_burst,LPT_SMPT,7440.278255208334,3313.4797944098,768,0.44534353161997703
l008_burst,SRT_SMPT,7484.115364583333,3280.500637489154,768,0.4383284433339025
l008_burst,LRT_MMUR,7494.788372093023,3214.187221402055,774,0.42885630144943626
l008_mf_high,SPT_SMPT,1134.4698863636365,254.3784797156339,352,0.22422673600531065
l008_mf_high,SRT_SMPT,1145.8092814371257,255.3279966818606,334,0.22283638369695932
l008_mf_high,LPT_SMPT,1152.7465425531916,266.8634858774817,376,0.23150230863968757
l008_mf_high,FIFO_SRWT,1154.9577962577962,226.46526358575775,481,0.196080986092767
l008_mf_high,SRT_SRWT,1159.8800403225807,222.91947131579948,496,0.19219183326389694
l008_mf_high,SPT_SRWT,1162.500806451613,229.84118522055778,496,0.19771271034393428
l008_mf_high,random,1181.762893081761,219.42598187302522,318,0.1856768249854365
l008_mf_high,LPT_MMUR,1350.9868894601543,326.62032548265023,389,0.24176424510911843
l008_mf_high,LRT_MMUR,1353.7007858546167,293.6967493020008,509,0.21695839462528238
l008_mf_high_burst,random,3240.0,1219.9307447638994,100,0.37652183480367263
l008_mf_high_burst,LRT_MMUR,5618.579234972678,2479.296977322283,366,0.4412676005154423
l008_mf_high_burst,SPT_SRWT,6494.525894736842,3073.22030337957,475,0.4732016398410398
l008_mf_high_burst,LPT_SMPT,6532.741906873614,3099.948388386835,451,0.47452485228677627
l008_mf_high_burst,FIFO_SRWT,6962.66233974359,3556.12873914175,624,0.510742667907792
l008_mf_high_burst,LPT_MMUR,7174.849848484849,3036.551898348799,660,0.4232216649091331
l008_mf_high_burst,SRT_SRWT,7241.383836589698,3681.3575246519104,563,0.5083776261176112
l008_mf_high_burst,SPT_SMPT,7525.259544159544,3780.4108544539104,351,0.5023628530377984
l008_mf_high_burst,SRT_SMPT,7953.2753571428575,3660.382364290436,560,0.4602358399427271
l008_mf_low,SPT_SMPT,1121.3317025440313,239.08793995556047,511,0.21321785463937887
l008_mf_low,SRT_SMPT,1127.136203522505,246.06550196108836,511,0.21831035254842232
l008_mf_low,LPT_SMPT,1140.4948424068768,244.87630076116432,349,0.2147105726882398
l008_mf_low,FIFO_SRWT,1150.4932938856016,215.2540669863143,507,0.1870971939865283
l008_mf_low,SPT_SRWT,1155.6972399150743,231.634143049785,471,0.20042804901637257
l008_mf_low,random,1177.0349892008637,224.4835458695792,463,0.1907195180510225
l008_mf_low,SRT_SRWT,1181.5355113636363,238.060189102746,352,0.2014837360478446
l008_mf_low,LPT_MMUR,1290.046644295302,270.33437208910215,298,0.20955395162224882
l008_mf_low,LRT_MMUR,1346.174142480211,306.7025107873599,379,0.22783271577500866
