policy,kind,seed,seed_index,makespan,mean_flow_time,total_flow_time,return,decisions,jobs_exited,deadlock,timed_out
SPT-SMPT,pdr,0,0,548.259765625,352.6148681640625,2820.9189453125,0.0,32,8.0,False,False
SPT-SRWT,pdr,0,1,492.0798034667969,302.8573913574219,2422.859130859375,0.0,32,8.0,False,False
LPT-MMUR,pdr,0,2,549.2398071289062,395.0948486328125,3160.7587890625,0.0,32,8.0,False,False
LPT-SMPT,pdr,0,3,549.2398071289062,395.0948486328125,3160.7587890625,0.0,32,8.0,False,False
SRT-SRWT,pdr,0,4,492.0798034667969,302.8573913574219,2422.859130859375,0.0,32,8.0,False,False
SRT-SMPT,pdr,0,5,550.7998046875,356.8173522949219,2854.538818359375,0.0,32,8.0,False,False
LRT-MMUR,pdr,0,6,549.2398071289062,395.0948486328125,3160.7587890625,0.0,32,8.0,False,False
FIFO-SRWT,pdr,0,7,492.5798034667969,326.68988037109375,2613.51904296875,0.0,32,8.0,False,False
SPT-SMPT,pdr,1,8,548.259765625,352.6148681640625,2820.9189453125,0.0,32,8.0,False,False
SPT-SRWT,pdr,1,9,492.0798034667969,302.8573913574219,2422.859130859375,0.0,32,8.0,False,False
LPT-MMUR,pdr,1,10,549.2398071289062,395.0948486328125,3160.7587890625,0.0,32,8.0,False,False
LPT-SMPT,pdr,1,11,549.2398071289062,395.0948486328125,3160.7587890625,0.0,32,8.0,False,False
SRT-SRWT,pdr,1,12,492.0798034667969,302.8573913574219,2422.859130859375,0.0,32,8.0,False,False
SRT-SMPT,pdr,1,13,550.7998046875,356.8173522949219,2854.538818359375,0.0,32,8.0,False,False
LRT-MMUR,pdr,1,14,549.2398071289062,395.0948486328125,3160.7587890625,0.0,32,8.0,False,False
FIFO-SRWT,pdr,1,15,492.5798034667969,326.68988037109375,2613.51904296875,0.0,32,8.0,False,False
