policy,kind,episodes,makespan_mean,makespan_std,total_flow_mean,mean_flow_time_mean,deadlocks,timeouts,makespan_gap_pct,flow_gap_pct
SPT-SRWT,pdr,2,492.0798034667969,0.0,2422.859130859375,302.8573913574219,0,0,0.0,0.0
SRT-SRWT,pdr,2,492.0798034667969,0.0,2422.859130859375,302.8573913574219,0,0,0.0,0.0
FIFO-SRWT,pdr,2,492.5798034667969,0.0,2613.51904296875,326.68988037109375,0,0,0.10160953497327138,7.869211613708179
SPT-SMPT,pdr,2,548.259765625,0.0,2820.9189453125,352.6148681640625,0,0,11.416839659422005,16.42934206876218
LPT-MMUR,pdr,2,549.2398071289062,0.0,3160.7587890625,395.0948486328125,0,0,11.616002782354846,30.45573920516774
LPT-SMPT,pdr,2,549.2398071289062,0.0,3160.7587890625,395.0948486328125,0,0,11.616002782354846,30.45573920516774
LRT-MMUR,pdr,2,549.2398071289062,0.0,3160.7587890625,395.0948486328125,0,0,11.616002782354846,30.45573920516774
SRT-SMPT,pdr,2,550.7998046875,0.0,2854.538818359375,356.8173522949219,0,0,11.933024035331144,17.816953614917164
