timestamp,instance,rule,seed,agv_count,event_id,start_time,duration,agv_a,agv_b,min_centre_distance,zone_a,zone_b,state_a,state_b,a_x,a_z,b_x,b_z
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,24,591.94,0.44,0,2,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,25,597.44,0.46,2,8,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,26,602.88,0.44,5,8,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,27,639.14,0.44,5,9,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,28,657.66,0.44,9,14,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,29,681.96,0.46,3,14,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,30,687.52,0.44,3,15,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,31,692.96,0.44,1,15,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,32,711.76,0.44,1,16,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,33,738.10,0.46,16,17,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,34,11738.40,0.44,8,9,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.70,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,35,11744.00,0.44,8,23,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,36,11754.68,0.44,17,23,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.70,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,37,11783.80,0.44,17,19,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,38,11789.24,0.46,19,21,0.934,LeftVert_BotConn,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.77,-14.55,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,39,11794.66,0.44,2,21,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,40,11800.16,0.44,1,2,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.61,-14.00,-9.70,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,41,11830.74,0.44,1,20,0.945,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.70,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,42,11836.30,0.46,12,20,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,43,11841.84,0.44,5,12,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,44,11847.40,0.44,4,5,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.73,-14.58
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,45,11859.24,0.44,4,6,0.943,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.64,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,46,11864.62,0.44,6,16,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,47,11870.12,0.46,11,16,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,48,11875.54,0.44,11,13,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,49,11880.74,0.46,0,13,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,50,11886.30,0.44,0,22,0.954,BotSpine_Dock0,BotSpine_Dock0,ReturningToParking,ReturningToParking,-9.73,-14.58,-8.61,-14.00
2026-09-21 01:48:06,mfsweep_shard0,SPT_SMPT,42,24,51,11897.46,0.46,18,22,0.934,BotSpine_Dock0,LeftVert_BotConn,ReturningToParking,ReturningToParking,-8.64,-14.00,-9.77,-14.55
