global_step,env,seed,seed_index,return,length,makespan,mean_flow_time,total_flow_time,jobs_exited,deadlock,timed_out
368,0,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
368,1,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
368,2,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
368,3,-1,-1,-5.15097783213854,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
720,3,8458037,0,-4.704238086044788,88,555.0997924804688,313.63587239583336,4704.5380859375,15.0,False,False
760,1,8765120,0,-5.443277636826041,98,661.1597290039062,362.90517578125,5443.57763671875,15.0,False,False
760,2,16432874,0,-5.306517871201038,98,585.27978515625,353.78785807291666,5306.81787109375,15.0,False,False
776,0,14272600,0,-5.357237597763538,102,576.1797485351562,357.16917317708334,5357.53759765625,15.0,False,False
1048,3,15016201,1,-4.120698535263539,82,498.7798156738281,274.7332356770833,4120.99853515625,15.0,False,False
1064,1,14928442,1,-4.53259843760729,76,502.4997863769531,302.19322916666664,4532.8984375,15.0,False,False
1088,2,1365194,1,-4.794318164169789,82,566.1797485351562,319.6412109375,4794.6181640625,15.0,False,False
1160,0,10690074,1,-5.17715800791979,96,559.0597534179688,345.1638671875,5177.4580078125,15.0,False,False
1400,3,16016265,2,-5.01987773448229,88,547.259765625,334.678515625,5020.177734375,15.0,False,False
1416,1,16658978,2,-4.797498339951037,88,561.2998046875,319.85322265625,4797.79833984375,15.0,False,False
1448,2,4820650,2,-4.954258105576039,90,516.539794921875,330.3038736979167,4954.55810546875,15.0,False,False
1520,0,8580335,2,-4.844077929794787,90,556.2998046875,322.9585286458333,4844.3779296875,15.0,False,False
1760,3,14436754,3,-5.008838183701038,90,544.1198120117188,333.9425455729167,5009.13818359375,15.0,False,False
1768,1,9351654,3,-4.809557910263539,88,560.8997802734375,320.6571940104167,4809.85791015625,15.0,False,False
1840,2,6757761,3,-5.391397754013537,98,574.1397705078125,359.44651692708334,5391.69775390625,15.0,False,False
1880,0,4533572,3,-4.734358203232286,90,540.4197998046875,315.6438802083333,4734.658203125,15.0,False,False
2144,3,11703967,4,-5.443257617294786,96,572.0797729492188,362.9038411458333,5443.5576171875,15.0,False,False
2152,1,5089572,4,-5.1839177735447866,96,584.1397705078125,345.61451822916666,5184.2177734375,15.0,False,False
2184,2,3849765,4,-4.696158007919788,86,512.9797973632812,313.0972005208333,4696.4580078125,15.0,False,False
2272,0,5171442,4,-5.111957812607289,98,535.3197631835938,340.8171875,5112.2578125,15.0,False,False
2488,1,13438998,5,-4.7121780274510385,84,495.8998107910156,314.1652018229167,4712.47802734375,15.0,False,False
2520,3,5398561,5,-4.641518359482289,94,511.3998107910156,309.4545572916667,4641.818359375,15.0,False,False
2584,2,10091945,5,-5.152417773544789,100,555.9197998046875,343.51451822916664,5152.7177734375,15.0,False,False
2624,0,697011,5,-4.673738086044788,88,557.259765625,311.6025390625,4674.0380859375,15.0,False,False
2808,1,3844538,6,-4.4480383790135365,80,472.37982177734375,296.55589192708334,4448.33837890625,15.0,False,False
2888,3,9745999,6,-4.803838183701041,92,520.6397705078125,320.27587890625,4804.13818359375,15.0,False,False
2960,2,14972788,6,-5.359278125107289,94,545.9197998046875,357.3052083333333,5359.578125,15.0,False,False
2976,0,1271567,6,-4.962658007919787,88,576.5997924804688,330.8638671875,4962.9580078125,15.0,False,False
3152,1,16048073,7,-5.058577929794789,86,550.8797607421875,337.25852864583334,5058.8779296875,15.0,False,False
3256,3,5323105,7,-4.8647180665135386,92,606.8397827148438,324.33453776041665,4865.01806640625,15.0,False,False
3320,2,2442926,7,-4.918637988388538,90,592.6197509765625,327.92919921875,4918.93798828125,15.0,False,False
3352,0,287122,7,-4.9037581055760375,94,553.8997802734375,326.93720703125,4904.05810546875,15.0,False,False
3512,1,14954282,8,-5.189517871201039,90,563.0597534179688,345.98785807291665,5189.81787109375,15.0,False,False
3608,3,16443262,8,-5.1193782227635385,88,543.8997802734375,341.31188151041664,5119.67822265625,15.0,False,False
3696,2,7322910,8,-5.016678027451038,94,571.4597778320312,334.46520182291664,5016.97802734375,15.0,False,False
3712,0,2948744,8,-4.651758105576037,90,559.999755859375,310.13720703125,4652.05810546875,15.0,False,False
3872,1,992813,9,-4.821478320419788,90,553.2398071289062,321.45188802083334,4821.7783203125,15.0,False,False
3984,3,5025644,9,-4.904298144638536,94,529.9797973632812,326.97320963541665,4904.59814453125,15.0,False,False
4024,2,1943573,9,-4.669498339951041,82,518.3798217773438,311.31988932291665,4669.79833984375,15.0,False,False
4080,0,13646277,9,-5.247977832138537,92,580.6597900390625,349.88518880208335,5248.27783203125,15.0,False,False
4256,1,1072389,10,-5.01839824229479,96,609.999755859375,334.5798828125,5018.6982421875,15.0,False,False
4352,3,10730618,10,-5.343777636826039,92,544.1597900390625,356.27184244791664,5344.07763671875,15.0,False,False
4392,2,829586,10,-5.195917773544786,92,561.5597534179688,346.4145182291667,5196.2177734375,15.0,False,False
4480,0,10898894,10,-5.407597949326035,100,648.8997192382812,360.5265299479167,5407.89794921875,15.0,False,False
4608,1,3973781,11,-4.5598782227635395,88,486.4197998046875,304.0118815104167,4560.17822265625,15.0,False,False
4728,3,11554060,11,-5.02051787120104,94,550.3598022460938,334.72119140625,5020.81787109375,15.0,False,False
4760,2,5491851,11,-4.709878222763538,92,542.2197875976562,314.0118815104167,4710.17822265625,15.0,False,False
4816,0,15314369,11,-4.822378222763539,84,579.0597534179688,321.5118815104167,4822.67822265625,15.0,False,False
4976,1,4215690,12,-5.129718066513535,92,577.4397583007812,342.00120442708334,5130.01806640625,15.0,False,False
5080,3,2999862,12,-5.079577929794788,88,546.7197875976562,338.6585286458333,5079.8779296875,15.0,False,False
5160,2,16056391,12,-5.337477832138537,100,571.0997924804688,355.85185546875,5337.77783203125,15.0,False,False
5184,0,8454422,12,-4.880478320419789,92,514.4597778320312,325.3852213541667,4880.7783203125,15.0,False,False
5304,1,13219417,13,-4.664918261826036,82,530.1198120117188,311.01455078125,4665.21826171875,15.0,False,False
5480,2,1994260,13,-4.666498339951037,80,501.3197937011719,311.11988932291666,4666.79833984375,15.0,False,False
5496,3,5380241,13,-5.19781767588854,104,594.8197631835938,346.5411783854167,5198.11767578125,15.0,False,False
5552,0,10181593,13,-4.761838183701039,92,482.559814453125,317.47587890625,4762.13818359375,15.0,False,False
5680,1,4256688,14,-5.198397754013539,94,594.9397583007812,346.57985026041666,5198.69775390625,15.0,False,False
5816,2,15977340,14,-4.363818164169788,84,488.49981689453125,290.9412109375,4364.1181640625,15.0,False,False
5824,3,4149010,14,-4.5243982422947875,82,546.2398071289062,301.64654947916665,4524.6982421875,15.0,False,False
5896,0,16286654,14,-4.62187822276354,86,550.1198120117188,308.14521484375,4622.17822265625,15.0,False,False
6040,1,15168,15,-5.121338183701039,90,600.4397583007812,341.4425455729167,5121.63818359375,15.0,False,False
6168,2,6328284,15,-4.822418261826039,88,484.9197998046875,321.51455078125,4822.71826171875,15.0,False,False
6176,3,12131058,15,-4.561538379013541,88,516.6397705078125,304.12255859375,4561.83837890625,15.0,False,False
6280,0,12241626,15,-4.907137988388539,96,548.9597778320312,327.16253255208335,4907.43798828125,15.0,False,False
6456,1,659756,16,-5.217298144638539,104,608.2997436523438,347.8398763020833,5217.59814453125,15.0,False,False
6536,2,1100743,16,-5.038517871201038,92,581.8997802734375,335.92119140625,5038.81787109375,15.0,False,False
6536,3,3484185,16,-4.70607841807604,90,564.7998046875,313.75856119791666,4706.37841796875,15.0,False,False
6624,0,10611421,16,-4.716137988388537,86,529.6198120117188,314.42919921875,4716.43798828125,15.0,False,False
6808,1,12178355,17,-4.775077929794787,88,570.1797485351562,318.35852864583336,4775.3779296875,15.0,False,False
6896,3,1084612,17,-4.66235820323229,90,551.9597778320312,310.84388020833336,4662.658203125,15.0,False,False
6904,2,8050303,17,-4.773438281357286,92,596.5997924804688,318.24921875,4773.73828125,15.0,False,False
6960,0,9125077,17,-4.705077929794787,84,515.0997924804688,313.6918619791667,4705.3779296875,15.0,False,False
7184,1,16057645,18,-5.362117968857289,94,598.1997680664062,357.49453125,5362.41796875,15.0,False,False
7240,3,14825992,18,-4.761018359482289,86,605.8397827148438,317.4212239583333,4761.318359375,15.0,False,False
7288,0,9398256,18,-4.892678027451037,82,579.999755859375,326.19853515625,4892.97802734375,15.0,False,False
7328,2,6508447,18,-5.164238086044789,106,568.6197509765625,344.3025390625,5164.5380859375,15.0,False,False
7568,1,10384994,19,-4.885398242294788,96,552.0997924804688,325.7132161458333,4885.6982421875,15.0,False,False
7568,3,2773042,19,-4.33301835948229,82,490.5198059082031,288.887890625,4333.318359375,15.0,False,False
7656,0,15688561,19,-4.819298144638537,92,516.3598022460938,321.30654296875,4819.59814453125,15.0,False,False
7680,2,4392608,19,-4.584798144638538,88,513.9597778320312,305.67320963541664,4585.09814453125,15.0,False,False
7896,1,8312904,20,-4.456378222763539,82,495.1597900390625,297.11188151041665,4456.67822265625,15.0,False,False
7944,3,15612854,20,-4.873997851669787,94,589.999755859375,324.95319010416665,4874.2978515625,15.0,False,False
8016,0,4660337,20,-4.935738086044789,90,543.259765625,329.06920572916664,4936.0380859375,15.0,False,False
8040,2,6609341,20,-4.560178027451037,90,516.9797973632812,304.03186848958336,4560.47802734375,15.0,False,False
8240,1,77933,21,-5.030398242294788,86,560.7197875976562,335.3798828125,5030.6982421875,15.0,False,False
8288,3,15239053,21,-4.686298144638539,86,496.8398132324219,312.43987630208335,4686.59814453125,15.0,False,False
8328,2,8085849,21,-4.315358203232288,72,506.97979736328125,287.710546875,4315.658203125,15.0,False,False
8400,0,13689592,21,-5.186837695419787,96,612.0997314453125,345.8091796875,5187.1376953125,15.0,False,False
8616,1,16118918,22,-4.967418261826036,94,564.6797485351562,331.18121744791665,4967.71826171875,15.0,False,False
8640,3,1559425,22,-5.198178027451038,88,586.8797607421875,346.56520182291666,5198.47802734375,15.0,False,False
8712,2,5770192,22,-5.176178027451038,96,580.039794921875,345.09853515625,5176.47802734375,15.0,False,False
8792,0,11258731,22,-5.643677539169787,98,572.4397583007812,376.2651692708333,5643.9775390625,15.0,False,False
8952,1,1825979,23,-4.64751835948229,84,514.4797973632812,309.85455729166665,4647.818359375,15.0,False,False
9000,3,9087869,23,-4.898298144638538,90,534.4197998046875,326.5732096354167,4898.59814453125,15.0,False,False
9032,2,14603416,23,-4.787938281357286,80,516.5997924804688,319.21588541666665,4788.23828125,15.0,False,False
9160,0,55917,23,-5.11111796885729,92,553.1397705078125,340.7611979166667,5111.41796875,15.0,False,False
9288,1,889647,24,-4.317158496201037,84,547.8997802734375,287.83056640625,4317.45849609375,15.0,False,False
9368,3,11980454,24,-4.980957812607288,92,566.3598022460938,332.08385416666664,4981.2578125,15.0,False,False
9424,2,11171489,24,-5.221758105576039,98,576.6797485351562,348.13720703125,5222.05810546875,15.0,False,False
9552,0,6618784,24,-5.2759778321385395,98,592.2197875976562,351.75185546875,5276.27783203125,15.0,False,False
9624,1,2198200,25,-4.906617968857287,84,526.9998168945312,327.12786458333335,4906.91796875,15.0,False,False
9728,3,10260493,25,-4.661938281357287,90,531.519775390625,310.8158854166667,4662.23828125,15.0,False,False
9776,2,10908167,25,-4.750358203232289,88,571.0597534179688,316.710546875,4750.658203125,15.0,False,False
9872,0,14386282,25,-4.704538379013539,80,525.4797973632812,313.65589192708336,4704.83837890625,15.0,False,False
9976,1,3791659,26,-4.873298144638538,88,540.059814453125,324.90654296875,4873.59814453125,15.0,False,False
10088,3,2057236,26,-4.81445830088854,90,510.8998107910156,320.98388671875,4814.75830078125,15.0,False,False
10112,2,10137883,26,-4.5872781251072885,84,539.5997924804688,305.8385416666667,4587.578125,15.0,False,False
10240,0,9304317,26,-4.8123982422947895,92,579.7997436523438,320.84654947916664,4812.6982421875,15.0,False,False
10320,1,12781626,27,-4.728198046982288,86,543.1198120117188,315.233203125,4728.498046875,15.0,False,False
10472,3,3647391,27,-5.083557910263536,96,572.3197631835938,338.9238606770833,5083.85791015625,15.0,False,False
10512,2,11297694,27,-5.027298144638539,100,591.8197631835938,335.17320963541664,5027.59814453125,15.0,False,False
10624,0,573136,27,-5.334957812607287,96,569.27978515625,355.68385416666666,5335.2578125,15.0,False,False
10632,1,183151,28,-4.516958300888537,78,495.35980224609375,301.1505533854167,4517.25830078125,15.0,False,False
10824,3,1766765,28,-5.040597949326039,88,556.7197875976562,336.05986328125,5040.89794921875,15.0,False,False
10888,2,5029032,28,-4.931057910263536,94,588.4397583007812,328.75719401041664,4931.35791015625,15.0,False,False
10968,0,12835074,28,-4.995077929794787,86,539.539794921875,333.0251953125,4995.3779296875,15.0,False,False
10968,1,16085931,29,-4.668077929794791,84,570.5797729492188,311.2251953125,4668.3779296875,15.0,False,False
11120,3,15006662,29,-4.292658496201037,74,521.3997802734375,286.1972330729167,4292.95849609375,15.0,False,False
11240,2,1239604,29,-5.008977832138538,88,570.3197631835938,333.95185546875,5009.27783203125,15.0,False,False
