policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,25,71.38,26,15,0,1,SPT-SRWT,2.0419,0.17528,0.1464,0.17528,0.08595,0.11704,0.07611,0.1005,0.16452,0.13419
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,26,75.8,27,15,0,1,SPT-SRWT,2.04691,0.17763,0.15151,0.17763,0.08993,0.09746,0.09105,0.09983,0.1422,0.15038
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,27,82.98,28,15,0,1,SPT-SRWT,2.04855,0.17189,0.15266,0.17189,0.0896,0.09773,0.09198,0.10048,0.14469,0.15096
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,28,91.32,29,15,0,1,SPT-SRWT,2.04614,0.16794,0.14968,0.16794,0.08621,0.11818,0.07816,0.1044,0.16295,0.13248
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,29,91.32,30,15,0,1,SPT-SRWT,2.04893,0.17087,0.1523,0.17087,0.09011,0.09736,0.09223,0.10063,0.14399,0.1525
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,30,93.34,31,15,0,1,SPT-SRWT,2.05099,0.16253,0.15263,0.16253,0.08991,0.09738,0.09441,0.1011,0.14767,0.15438
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,31,96.38,32,15,0,6,LRT-MMUR,2.04803,0.16633,0.15037,0.16086,0.0861,0.1181,0.08025,0.10509,0.16633,0.1329
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,32,96.38,33,15,0,1,SPT-SRWT,2.05122,0.16186,0.15293,0.16186,0.09006,0.09746,0.0943,0.1014,0.14775,0.15423
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,33,99.42,34,15,0,6,LRT-MMUR,2.04603,0.16666,0.14818,0.16598,0.08534,0.11746,0.08019,0.10236,0.16666,0.13384
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,34,113.66,35,14,1,1,SPT-SRWT,2.05145,0.16533,0.15501,0.16533,0.09081,0.09718,0.09424,0.10232,0.14509,0.15002
