policy,kind,episodes,makespan_mean,makespan_std,total_flow_mean,mean_flow_time_mean,deadlocks,timeouts
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,3,548.1664428710938,10.093435717100014,4976.98486328125,331.7989908854167,0,0
ckpt:cmp_flow_time/checkpoint_init,checkpoint,3,554.3997802734375,7.280108174546887,5049.751302083333,336.65008680555553,0,0
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,3,558.0997721354166,2.6182801761860106,5000.8046875,333.38697916666666,0,0
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,3,562.2397664388021,18.42642515460207,5100.491373697917,340.03275824652775,0,0
ckpt:cmp_flow_time/checkpoint,checkpoint,3,564.3731282552084,17.74864216827163,5099.904622395833,339.9936414930555,0,0
ckpt:cmp_time_penalty/checkpoint,checkpoint,3,565.8864542643229,23.243721020611446,5103.78466796875,340.2523111979167,0,0
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,3,566.4397786458334,15.902973275996397,5084.14453125,338.94296875000003,0,0
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,3,568.8997802734375,20.802620079715766,5083.711263020833,338.9140842013889,0,0
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,3,576.6264444986979,12.995433154259574,5032.604654947917,335.5069769965278,0,0
