policy,kind,seed,seed_index,makespan,mean_flow_time,total_flow_time,return,decisions,jobs_exited,deadlock,timed_out
ckpt:cmp_flow_time/checkpoint_init,checkpoint,4,0,561.1797485351562,327.81321614583334,4917.1982421875,0.0,86,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,4,1,588.6597900390625,335.2692057291667,5029.0380859375,0.0,86,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,4,2,561.1797485351562,327.81321614583334,4917.1982421875,0.0,86,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,4,3,551.9397583007812,326.455859375,4896.837890625,0.0,86,15.0,False,False
ckpt:cmp_flow_time/checkpoint,checkpoint,4,4,588.6597900390625,335.2692057291667,5029.0380859375,0.0,86,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,4,5,561.1797485351562,327.81321614583334,4917.1982421875,0.0,86,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,4,6,588.6597900390625,335.2692057291667,5029.0380859375,0.0,86,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,4,7,597.9597778320312,332.233203125,4983.498046875,0.0,86,15.0,False,False
ckpt:cmp_time_penalty/checkpoint,checkpoint,4,8,598.5997924804688,344.910546875,5173.658203125,0.0,86,15.0,False,False
ckpt:cmp_flow_time/checkpoint_init,checkpoint,5,9,557.7197875976562,343.34384765625,5150.15771484375,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,5,10,552.3197631835938,334.478515625,5017.177734375,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,5,11,536.5797729492188,326.21588541666665,4893.23828125,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,5,12,588.1197509765625,352.5025390625,5287.5380859375,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint,checkpoint,5,13,557.7197875976562,343.34384765625,5150.15771484375,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,5,14,554.77978515625,325.26653645833335,4878.998046875,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,5,15,582.6397705078125,323.97320963541665,4859.59814453125,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,5,16,550.3997802734375,337.42786458333336,5061.41796875,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint,checkpoint,5,17,552.3197631835938,334.478515625,5017.177734375,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_init,checkpoint,6,18,544.2998046875,338.79319661458334,5081.89794921875,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step25600,checkpoint,6,19,558.3397827148438,347.08118489583336,5206.2177734375,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step51200,checkpoint,6,20,546.7398071289062,341.36787109375,5120.51806640625,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint_step76800,checkpoint,6,21,546.6597900390625,341.13987630208334,5117.09814453125,0.0,84,15.0,False,False
ckpt:cmp_flow_time/checkpoint,checkpoint,6,22,546.7398071289062,341.36787109375,5120.51806640625,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step25600,checkpoint,6,23,558.3397827148438,347.08118489583336,5206.2177734375,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step51200,checkpoint,6,24,558.5797729492188,347.278515625,5209.177734375,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint_step76800,checkpoint,6,25,558.3397827148438,347.08118489583336,5206.2177734375,0.0,84,15.0,False,False
ckpt:cmp_time_penalty/checkpoint,checkpoint,6,26,546.7398071289062,341.36787109375,5120.51806640625,0.0,84,15.0,False,False
