timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time,mean_flow_time,p95_flow_time,max_flow_time,mean_transport_wait,jobs_censored,mean_flow_time_penalized,p95_flow_time_penalized,max_flow_time_penalized,deadlock_detected,deadlock_sim_time,first_stall_sim_time,orphan_predispatch_released,agv_collision_events,agv_collision_pair_seconds,agv_clearance_events,agv_clearance_pair_seconds,agv_parking_overlap_events,agv_min_centre_distance,reservation_protocol
2026-09-20 19:22:47,mfsweep_shard0,SPT_SMPT,42,6024.58,137,15,274,3,650,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,108,6824.1,0,0.00000,0.0,0.0,-1.0,1252.86,2296.07,3501.95,899.59,0,1252.86,2296.07,3501.95,0,-1.0,-1.0,0,0,0.00,18,7.70,7,2.219,releasePrevious
2026-09-20 19:30:05,mfsweep_shard0,SPT_SMPT,43,7462.94,137,15,274,3,843,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,132,8706.3,0,0.00000,0.0,0.0,-1.0,1700.29,4385.29,5203.09,1022.48,0,1700.29,4385.29,5203.09,0,-1.0,-1.0,0,0,0.00,32,33.98,19,2.217,releasePrevious
2026-09-20 19:35:39,mfsweep_shard0,SPT_SMPT,44,6147.36,137,15,274,3,796,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,106,6296.1,0,0.00000,0.0,0.0,-1.0,1288.44,2121.76,2714.08,1063.04,0,1288.44,2121.76,2714.08,0,-1.0,-1.0,0,0,0.00,26,10.02,7,2.217,releasePrevious
2026-09-20 19:41:25,mfsweep_shard0,SPT_SMPT,45,6301.24,137,15,274,3,767,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,122,7378.0,0,0.00000,0.0,0.0,-1.0,1463.06,2761.44,3143.53,1095.53,0,1463.06,2761.44,3143.53,0,-1.0,-1.0,0,0,0.00,16,8.72,6,2.217,releasePrevious
2026-09-20 19:46:59,mfsweep_shard0,SPT_SMPT,46,6156.12,137,15,274,3,812,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,111,6771.7,0,0.00000,0.0,0.0,-1.0,1379.77,2901.30,3896.27,1093.95,0,1379.77,2901.30,3896.27,0,-1.0,-1.0,0,0,0.00,22,8.98,3,1.318,releasePrevious
2026-09-20 19:53:42,mfsweep_shard0,SPT_SMPT,47,7419.26,137,15,274,3,810,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,135,8396.7,0,0.00000,0.0,0.0,-1.0,1881.76,4724.86,6370.00,1298.69,0,1881.76,4724.86,6370.00,0,-1.0,-1.0,0,0,0.00,13,10.38,21,2.217,releasePrevious
2026-09-20 20:01:00,mfsweep_shard0,SPT_SMPT,48,8066.74,137,15,274,3,922,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,157,10175.5,0,0.00000,0.0,0.0,-1.0,2056.11,5345.67,5760.72,1472.01,0,2056.11,5345.67,5760.72,0,-1.0,-1.0,0,0,0.00,14,7.54,15,1.679,releasePrevious
2026-09-20 20:06:50,mfsweep_shard0,SPT_SMPT,49,6350.86,137,15,274,3,710,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,104,6931.4,0,0.00000,0.0,0.0,-1.0,1634.06,3638.36,5342.71,1144.77,0,1634.06,3638.36,5342.71,0,-1.0,-1.0,1,0,0.00,29,17.54,8,2.217,releasePrevious
2026-09-20 20:13:35,mfsweep_shard0,SPT_SMPT,50,7354.26,137,15,274,3,862,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,139,8537.4,0,0.00000,0.0,0.0,-1.0,2066.70,3901.19,4818.13,1722.79,0,2066.70,3901.19,4818.13,0,-1.0,-1.0,0,0,0.00,13,6.18,5,2.217,releasePrevious
2026-09-20 20:19:24,mfsweep_shard0,SPT_SMPT,51,6327.48,137,15,274,3,742,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,121,8490.1,0,0.00000,0.0,0.0,-1.0,1626.20,2893.22,3587.20,1237.22,0,1626.20,2893.22,3587.20,0,-1.0,-1.0,0,0,0.00,12,6.28,3,2.217,releasePrevious
2026-09-20 20:25:42,mfsweep_shard0,SPT_SMPT,52,7009.88,137,15,274,3,766,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,126,8366.3,0,0.00000,0.0,0.0,-1.0,1621.97,4002.81,4750.03,1190.90,0,1621.97,4002.81,4750.03,0,-1.0,-1.0,0,0,0.00,26,10.82,21,2.216,releasePrevious
2026-09-20 20:31:26,mfsweep_shard0,SPT_SMPT,53,6291.20,137,15,274,3,797,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,130,8071.4,0,0.00000,0.0,0.0,-1.0,1425.02,2945.90,3573.81,1090.01,0,1425.02,2945.90,3573.81,0,-1.0,-1.0,0,0,0.00,17,9.60,7,2.217,releasePrevious
2026-09-20 20:38:00,mfsweep_shard0,SPT_SMPT,54,7253.70,137,15,274,3,895,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,143,8956.9,0,0.00000,0.0,0.0,-1.0,1775.79,4104.87,5534.22,1290.60,0,1775.79,4104.87,5534.22,0,-1.0,-1.0,0,1,0.46,17,12.66,15,0.934,releasePrevious
2026-09-20 20:43:41,mfsweep_shard0,SPT_SMPT,55,6206.48,137,15,274,3,854,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,106,6349.9,0,0.00000,0.0,0.0,-1.0,1582.40,3353.02,4572.48,1165.69,0,1582.40,3353.02,4572.48,0,-1.0,-1.0,0,0,0.00,19,12.50,0,1.372,releasePrevious
2026-09-20 20:50:26,mfsweep_shard0,SPT_SMPT,56,7499.44,137,15,274,3,829,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,126,7468.7,0,0.00000,0.0,0.0,-1.0,1837.49,5151.48,5665.84,1070.04,0,1837.49,5151.48,5665.84,0,-1.0,-1.0,0,1,0.44,22,16.32,24,0.943,releasePrevious
2026-09-20 20:56:19,mfsweep_shard0,SPT_SMPT,57,6433.88,137,15,274,3,743,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,123,7391.1,0,0.00000,0.0,0.0,-1.0,1500.40,2743.16,3299.30,1226.62,0,1500.40,2743.16,3299.30,0,-1.0,-1.0,0,0,0.00,20,7.54,12,2.217,releasePrevious
2026-09-20 21:03:42,mfsweep_shard0,SPT_SMPT,58,8210.68,137,15,274,3,946,0.0000,100.0000,single,fixed,mf,1.50,900.0,812.4,4.000,0.500,141,8934.1,0,0.00000,0.0,0.0,-1.0,2100.98,5650.34,6791.47,1002.40,0,2100.98,5650.34,6791.47,0,-1.0,-1.0,0,0,0.00,38,42.46,28,2.217,releasePrevious
