instance,time_traveling,time_waiting_route,time_loading,time_unloading,time_idle,transport_share,idle_share,coverage
med_lam0p0120_multiple,7162.935407407407,2733.7445925925927,338.2268148148148,342.5865185185185,1822.5118518518518,0.577552866045518,0.14689492698512951,1.0000003605281913
med_lam0p0120_single,7513.229777777778,3177.1479999999997,338.0362962962963,342.46237037037037,1210.7131851851852,0.5978572715713193,0.09618607467452718,1.0000008225206654
med_lam0p0240_multiple,13535.687037037036,5291.149629629629,642.1810370370371,650.1108148148148,2830.259259259259,0.5889835028786666,0.1232737560554049,1.0000001166449137
med_lam0p0240_single,14101.044518518518,6130.495407407408,642.3611851851851,650.6865185185185,1826.0312592592593,0.6038679562247927,0.07817404180406125,1.0000000299777643
med_lam0p0360_multiple,19937.33785185185,7892.830296296297,951.9703703703703,964.9985185185185,4015.8309629629634,0.5896288951237756,0.1188790571861677,1.0000001278270343
med_lam0p0360_single,20790.048814814814,9182.884444444444,950.9477037037037,963.3706666666666,2648.553925925926,0.6021909259075525,0.07662973265499472,0.9999999038662881
med_lam0p0440_multiple,20765.026296296295,8112.780592592591,988.7871111111111,1001.9705185185185,4127.737037037037,0.5925955942107405,0.11789350941450889,1.0000003411381184
med_lam0p0440_single,21629.592222222225,9564.460296296296,987.972,1001.154074074074,2606.9484444444442,0.6044200867224095,0.0728240123892345,1.0000000923140901
med_lam0p0600_multiple,20733.359481481482,8162.395555555555,989.7748148148148,1002.9379259259259,4130.051407407407,0.5913809353160627,0.11788757793354217,0.9999999871146532
med_lam0p0600_single,21655.036222222225,9484.922666666667,988.9429629629628,1001.3484444444445,2609.2589629629633,0.6060275558091772,0.07294815392556953,0.9999998963698142
med_lam0p0720_multiple,20673.738444444443,8096.344296296296,987.1318518518518,999.7090370370371,4176.415111111111,0.5911460001539258,0.1195017638174325,1.0000001229355528
med_lam0p0720_single,21601.666,9453.238074074074,989.1671111111111,1002.4663703703703,2599.145037037037,0.6062266445485135,0.07287941183536771,1.0000001444044113
med_lam0p0960_multiple,20720.063185185183,8176.900370370371,988.8536296296296,1002.9219259259258,4119.906962962962,0.5911771745418775,0.11765308308100914,1.0000001344021103
med_lam0p0960_single,21591.733555555555,9589.82711111111,988.4619259259258,1002.208888888889,2612.957037037037,0.6034001193152304,0.07298250827107766,0.9999999608221525
