instance,Assemble,Inspect,Lathe,Mill,Weld,__imbalance__
l008_baseline,20.874197530864198,20.291975308641977,20.66530864197531,20.665432098765432,20.764197530864198,1.028692239832081
l008_burst,32.70135802469136,31.452098765432098,32.73777777777778,32.227407407407405,32.13654320987654,1.0408773678963112
l008_mf_high,18.03148148148148,17.204197530864196,18.090246913580245,17.453333333333333,17.67654320987654,1.0515019303356918
l008_mf_high_burst,20.320123456790125,19.517407407407408,20.433827160493827,19.825308641975308,19.86543209876543,1.0469539695491836
l008_mf_low,18.189506172839504,17.512345679012345,18.276666666666667,17.80925925925926,17.942716049382714,1.0436446951004583
