timestamp,instance,rule,seed,makespan,jobs,machines,total_ops,agvCount,decisions,total_reward,timescale,parking_method,pre_dispatching_method,stochastic_tag,weibull_k,weibull_lambda,mean_ttf_theoretical,repair_log_mu,repair_log_sigma,episode_failures,total_repair_time,dynamic_arrivals,arrival_lambda,mean_interarrival_theoretical,mean_interarrival_realised,last_arrival_sim_time
2026-06-23 20:52:00,small_5j_5m_single,LPT_MMUR,42,1268.42,5,5,18,2,36,-0.6306,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 20:52:30,small_5j_5m_single,LPT_MMUR,43,1566.67,5,5,19,2,38,-0.7544,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 20:52:56,small_5j_5m_single,LPT_MMUR,44,1333.33,5,5,17,2,34,-0.7059,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 20:53:35,small_5j_5m_single,LPT_MMUR,45,2000.0,5,5,24,2,48,-0.7778,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 20:54:07,small_5j_5m_single,LPT_MMUR,46,1666.67,5,5,20,2,40,-0.7667,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 20:57:26,medium_20j_15m_single,LPT_MMUR,42,9800.0,20,15,135,5,270,-0.7136,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 21:00:49,medium_20j_15m_single,LPT_MMUR,43,10000.0,20,15,133,5,266,-0.7393,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 21:04:02,medium_20j_15m_single,LPT_MMUR,44,9500.0,20,15,131,5,262,-0.7125,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 21:07:11,medium_20j_15m_single,LPT_MMUR,45,9333.34,20,15,127,5,254,-0.7218,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
2026-06-23 21:10:18,medium_20j_15m_single,LPT_MMUR,46,9200.0,20,15,126,5,252,-0.7169,100.0,single,fixed,none,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,-1.0
