policy,kind,seed,seed_index,step,sim_time,decision_count,wip,jobs_exited,action,rule,entropy,chosen_prob,p_SPT-SMPT,p_SPT-SRWT,p_LPT-MMUR,p_LPT-SMPT,p_SRT-SRWT,p_SRT-SMPT,p_LRT-MMUR,p_FIFO-SRWT
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,0,0.02,1,1,0,0,SPT-SMPT,1.75685,0.29617,0.29617,0.05924,0.05196,0.22674,0.09855,0.02388,0.02356,0.21989
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,1,26.7,2,2,0,0,SPT-SMPT,1.73997,0.29933,0.29933,0.05525,0.05199,0.23065,0.09297,0.02217,0.02272,0.22491
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,2,30.96,3,2,0,0,SPT-SMPT,1.74981,0.30735,0.30735,0.0586,0.04916,0.22263,0.10257,0.0239,0.0228,0.21298
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,3,53.36,4,3,0,0,SPT-SMPT,1.75802,0.29079,0.29079,0.05894,0.05431,0.22853,0.09409,0.02377,0.02389,0.22568
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,4,58.54,5,3,0,0,SPT-SMPT,1.7159,0.28675,0.28675,0.04889,0.05604,0.24549,0.07852,0.01925,0.02212,0.24296
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,5,80.04,6,4,0,0,SPT-SMPT,1.63531,0.28517,0.28517,0.03471,0.05649,0.26603,0.05662,0.01319,0.01831,0.26949
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,6,84.38,7,4,0,0,SPT-SMPT,1.64731,0.29151,0.29151,0.0365,0.05532,0.26123,0.06119,0.01412,0.01874,0.26139
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,7,106.7,8,5,0,0,SPT-SMPT,1.65288,0.28236,0.28236,0.03739,0.05721,0.26325,0.06021,0.01419,0.01925,0.26614
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,8,120.06,9,5,0,0,SPT-SMPT,1.62844,0.2951,0.2951,0.03395,0.05374,0.2641,0.0584,0.01283,0.01765,0.26423
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,9,133.36,10,4,2,0,SPT-SMPT,1.75984,0.27625,0.27625,0.0581,0.05958,0.23429,0.08536,0.02337,0.02472,0.23834
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,10,137.08,11,4,2,0,SPT-SMPT,1.72046,0.27539,0.27539,0.04929,0.05991,0.24766,0.07403,0.01938,0.02285,0.25148
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,11,160.04,12,5,2,0,SPT-SMPT,1.74686,0.27894,0.27894,0.05526,0.05851,0.23754,0.08334,0.02198,0.02399,0.24044
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,12,163.16,13,5,2,0,SPT-SMPT,1.74122,0.27898,0.27898,0.054,0.05861,0.2393,0.08162,0.02139,0.02371,0.24239
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,13,186.7,14,5,3,0,SPT-SMPT,1.74515,0.27819,0.27819,0.05481,0.05855,0.23886,0.08281,0.02175,0.02393,0.24109
ckpt:ep_warmup01/checkpoint,checkpoint,0,0,14,193.04,15,5,3,0,SPT-SMPT,1.75318,0.27983,0.27983,0.05679,0.05785,0.23552,0.08624,0.02266,0.02424,0.23687
