instance,Assemble,Inspect,Lathe,Mill,Weld,__imbalance__
med_lam0p0120_multiple,24.21925925925926,24.632345679012346,24.652345679012345,23.42493827160494,24.421234567901234,1.0523974660328235
med_lam0p0120_single,23.79567901234568,24.21469135802469,24.263086419753087,23.104814814814816,24.167777777777776,1.0501311789002346
med_lam0p0240_multiple,25.253950617283948,24.65358024691358,24.944197530864198,24.642839506172837,25.049506172839507,1.0247987295034744
med_lam0p0240_single,24.692716049382717,24.228765432098765,24.574074074074073,24.389012345679014,24.59753086419753,1.0191487518662137
med_lam0p0360_multiple,25.508271604938273,24.4979012345679,25.340987654320987,25.177407407407408,25.334814814814813,1.041243140001915
med_lam0p0360_single,24.857654320987656,23.914197530864197,24.766172839506172,24.648518518518518,24.72456790123457,1.0394517436307789
med_lam0p0440_multiple,25.692345679012345,24.49098765432099,25.48925925925926,25.42222222222222,25.036543209876545,1.0490530656275676
med_lam0p0440_single,25.00037037037037,24.07246913580247,24.92888888888889,24.716913580246914,24.57493827160494,1.0385461594875554
med_lam0p0600_multiple,25.602345679012345,24.73962962962963,25.594814814814814,25.346913580246913,25.043827160493827,1.0348718255809892
med_lam0p0600_single,25.074197530864197,24.191358024691358,25.067777777777778,24.762345679012345,24.513950617283953,1.0364940035723398
med_lam0p0720_multiple,25.632716049382715,24.433703703703706,25.52135802469136,25.500987654320987,25.11308641975309,1.0490720670193467
med_lam0p0720_single,25.2079012345679,24.213333333333335,25.074567901234566,24.804197530864197,24.601604938271606,1.0410752161853483
med_lam0p0960_multiple,25.676790123456794,24.432716049382716,25.623456790123456,25.300493827160494,25.0958024691358,1.0509183699249642
med_lam0p0960_single,25.011234567901237,24.07827160493827,25.02543209876543,24.80901234567901,24.465061728395064,1.0393367310315125
