global_step,env,seed,seed_index,return,length,makespan,mean_flow_time,total_flow_time,jobs_exited,deadlock,timed_out
368,0,-1,-1,-5.585997509844603,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
368,1,-1,-1,-5.585997509844603,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
368,2,-1,-1,-5.585997509844603,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
368,3,-1,-1,-5.585997509844603,92,558.6197509765625,343.41852213541665,5151.27783203125,15.0,False,False
720,3,8458037,0,-5.550797924883661,88,555.0997924804688,313.63587239583336,4704.5380859375,15.0,False,False
760,1,8765120,0,-6.611397290118038,98,661.1597290039062,362.90517578125,5443.57763671875,15.0,False,False
760,2,16432874,0,-5.852597851641475,98,585.27978515625,353.78785807291666,5306.81787109375,15.0,False,False
776,0,14272600,0,-5.7615974854305385,102,576.1797485351562,357.16917317708334,5357.53759765625,15.0,False,False
1048,3,15016201,1,-4.987598156817256,82,498.7798156738281,274.7332356770833,4120.99853515625,15.0,False,False
1064,1,14928442,1,-5.024797863848509,76,502.4997863769531,302.19322916666664,4532.8984375,15.0,False,False
1088,2,1365194,1,-5.661597485430538,82,566.1797485351562,319.6412109375,4794.6181640625,15.0,False,False
1160,0,10690074,1,-5.59039753425866,96,559.0597534179688,345.1638671875,5177.4580078125,15.0,False,False
1400,3,16016265,2,-5.472397656328976,88,547.259765625,334.678515625,5020.177734375,15.0,False,False
1416,1,16658978,2,-5.612798046953977,88,561.2998046875,319.85322265625,4797.79833984375,15.0,False,False
1448,2,4820650,2,-5.165197949297725,90,516.539794921875,330.3038736979167,4954.55810546875,15.0,False,False
1520,0,8580335,2,-5.5627980469539775,90,556.2998046875,322.9585286458333,4844.3779296875,15.0,False,False
1760,3,14436754,3,-5.4409981201961655,90,544.1198120117188,333.9425455729167,5009.13818359375,15.0,False,False
1768,1,9351654,3,-5.608797802813351,88,560.8997802734375,320.6571940104167,4809.85791015625,15.0,False,False
1840,2,6757761,3,-5.741197705157101,98,574.1397705078125,359.44651692708334,5391.69775390625,15.0,False,False
1880,0,4533572,3,-5.40399799812585,90,540.4197998046875,315.6438802083333,4734.658203125,15.0,False,False
2144,3,11703967,4,-5.7205977295711605,96,572.0797729492188,362.9038411458333,5443.5576171875,15.0,False,False
2152,1,5089572,4,-5.841197705157102,96,584.1397705078125,345.61451822916666,5184.2177734375,15.0,False,False
2184,2,3849765,4,-5.129597973711789,86,512.9797973632812,313.0972005208333,4696.4580078125,15.0,False,False
2272,0,5171442,4,-5.352798046953975,98,535.2998046875,336.43854166666665,5046.578125,15.0,False,False
2488,1,13438998,5,-4.95879810798913,84,495.8998107910156,314.1652018229167,4712.47802734375,15.0,False,False
2520,3,5398561,5,-5.113798107989134,94,511.3998107910156,309.4545572916667,4641.818359375,15.0,False,False
2584,2,10091945,5,-5.558997998125854,100,555.9197998046875,343.51451822916664,5152.7177734375,15.0,False,False
2624,0,697011,5,-5.55679768074304,88,555.6997680664062,310.0238932291667,4650.3583984375,15.0,False,False
2808,1,3844538,6,-4.723598217852414,80,472.37982177734375,296.55589192708334,4448.33837890625,15.0,False,False
2888,3,9745999,6,-5.206197705157102,92,520.6397705078125,320.27587890625,4804.13818359375,15.0,False,False
2960,2,14972788,6,-5.458997998125851,94,545.9197998046875,357.3052083333333,5359.578125,15.0,False,False
2976,0,1271567,6,-5.765797924883664,88,576.5997924804688,330.8638671875,4962.9580078125,15.0,False,False
3152,1,16048073,7,-5.508597607500851,86,550.8797607421875,337.25852864583334,5058.8779296875,15.0,False,False
3256,3,5323105,7,-6.068197827227413,92,606.8397827148438,324.33453776041665,4865.01806640625,15.0,False,False
3320,2,2442926,7,-5.925997509844603,90,592.6197509765625,327.92919921875,4918.93798828125,15.0,False,False
3352,0,287122,7,-5.445197949297727,94,544.539794921875,329.7611979166667,4946.41796875,15.0,False,False
3512,1,14954282,8,-5.630397534258664,90,563.0597534179688,345.98785807291665,5189.81787109375,15.0,False,False
3608,3,16443262,8,-5.415398144610225,88,541.559814453125,347.33453776041665,5210.01806640625,15.0,False,False
3696,2,7322910,8,-5.714397778399287,94,571.4597778320312,334.46520182291664,5016.97802734375,15.0,False,False
3712,0,2948744,8,-5.437198071368039,90,543.7398071289062,321.26787109375,4819.01806640625,15.0,False,False
3872,1,992813,9,-5.53219807136804,90,553.2398071289062,321.45188802083334,4821.7783203125,15.0,False,False
3984,3,5025644,9,-5.247198071368038,94,524.7398071289062,317.98121744791666,4769.71826171875,15.0,False,False
4024,2,1943573,9,-5.183598217852414,82,518.3798217773438,311.31988932291665,4669.79833984375,15.0,False,False
4080,0,13646277,9,-5.8917976807430374,92,589.1997680664062,344.8478515625,5172.7177734375,15.0,False,False
4256,1,1072389,10,-6.0997975586727256,96,609.999755859375,334.5798828125,5018.6982421875,15.0,False,False
4352,3,10730618,10,-5.1005980347469455,92,510.0798034667969,334.3878580729167,5015.81787109375,15.0,False,False
4392,2,829586,10,-5.516797680743038,92,551.6997680664062,352.0958658854167,5281.43798828125,15.0,False,False
