instance,time_traveling,time_waiting_route,time_loading,time_unloading,time_idle,transport_share,idle_share,coverage
dynamic_30j_15m_multiple,1652.9235555555556,103.70488888888889,74.53125925925926,75.59585185185186,8379.66888888889,0.1609636308718258,0.8143244876557177,1.0000001842866757
dynamic_30j_15m_single,2415.835111111111,100.52933333333333,74.53748148148148,75.59185185185184,7601.411407407408,0.23553141784417683,0.7400001043349645,1.0000003986503005
large_50j_15m_multiple,2806.863259259259,205.81096296296295,126.45614814814813,127.89274074074075,14010.755407407407,0.16290107586431624,0.8104930196002249,0.9999999286268003
large_50j_15m_single,4110.8616296296295,212.64533333333333,126.45525925925925,127.88340740740739,12743.142962962964,0.23761231788870496,0.7354337186974336,1.0000000053511438
medium_20j_15m_multiple,1425.4847407407408,96.49792592592593,65.44296296296295,66.26118518518518,7773.476888888888,0.15147340135218615,0.8243153440002756,1.0000002842070679
medium_20j_15m_single,2119.114222222222,96.356,65.44177777777777,66.36266666666666,7070.014222222222,0.22515327255182446,0.7505955331789246,1.0000005487013797
small_5j_5m_multiple,343.1740740740741,6.846666666666668,23.87,24.486666666666665,1046.0662962962963,0.2383101284403206,0.7233162662910574,0.9999991271872046
small_5j_5m_single,558.7755555555556,11.242592592592594,23.891111111111112,24.486666666666665,782.0129629629629,0.4010490698096375,0.5559474505559721,1.0000039866216743
xlarge_100j_20m_multiple,5401.282751322751,451.6206349206349,224.61936507936505,223.94285714285712,37919.52693121693,0.1227766444316551,0.8568866592228976,1.0000000217433496
xlarge_100j_20m_single,8394.975714285714,473.7043386243386,224.5952380952381,223.9385185185185,34849.45693121693,0.19038430893818462,0.7886921940794195,0.9999999622175768
