timestamp,rule,seed,makespan,machine_id,machine_type,ops_completed,time_processing,time_operational,utilization_rate,idle_time,idle_rate
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,0,Mill,4,381.62,1289.15,0.2960,907.53,0.7040
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,1,Lathe,6,474.78,1253.21,0.3789,778.43,0.6211
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,2,Weld,2,305.07,1193.58,0.2556,888.51,0.7444
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,3,Inspect,4,228.49,1211.91,0.1885,983.42,0.8115
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,4,Assemble,3,733.97,1257.69,0.5836,523.72,0.4164
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,5,Mill,1,87.20,1248.87,0.0698,1161.66,0.9302
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,6,Lathe,0,0.00,1289.15,0.0000,1289.15,1.0000
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,7,Weld,3,407.16,1289.15,0.3158,881.99,0.6842
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,8,Inspect,2,126.74,1236.75,0.1025,1110.01,0.8975
2026-05-16 20:02:54,SRT_SRWT,42,1289.15,9,Assemble,3,745.20,1289.15,0.5781,543.94,0.4219
