instance,rule,mean,std,n,cv
agv07_l008_proc1x,SPT_SMPT,1054.6426229508197,185.39241305855026,61,0.17578695287303547
agv07_l008_proc1x,LPT_SMPT,1055.7409836065574,189.70272039610566,61,0.17968680134785986
agv07_l008_proc1x,SRT_SMPT,1060.1131147540984,183.06223028923787,61,0.1726817900292655
agv07_l008_proc1x,SRT_SRWT,1108.8916666666667,205.0067616013187,60,0.18487537400075332
agv07_l008_proc1x,SPT_SRWT,1121.115,197.34158360225058,60,0.17602260571150202
agv07_l008_proc1x,SDT_SRWT,1128.8933333333334,193.8313043114384,60,0.17170028255823258
agv07_l008_proc1x,random,1201.6699999999998,198.24186930555993,60,0.1649719717605998
agv07_l008_proc1x,LRT_MMUR,1272.7816666666665,275.17721777722767,60,0.2162014310733271
agv07_l008_proc1x,LPT_MMUR,1303.3366666666666,350.0112143320442,60,0.26855011700638426
agv07_l008_proc2x,SPT_SMPT,1413.3300000000002,260.03428867773493,60,0.18398695893933822
agv07_l008_proc2x,LPT_SMPT,1445.5516666666667,257.029551484179,60,0.17780723955503425
agv07_l008_proc2x,SRT_SMPT,1487.2216666666668,324.35044768341135,60,0.2180915292946095
agv07_l008_proc2x,SPT_SRWT,1498.3283333333334,242.8225090030393,60,0.16206228207860934
agv07_l008_proc2x,SDT_SRWT,1499.445,253.59618402264547,60,0.16912669956060108
agv07_l008_proc2x,SRT_SRWT,1513.3300000000002,272.202872561089,60,0.17987013576753846
agv07_l008_proc2x,random,1569.4483333333333,340.280326855128,60,0.21681524624159532
agv07_l008_proc2x,LPT_MMUR,4183.027272727273,2175.1020523912202,55,0.5199827566443489
agv07_l008_proc2x,LRT_MMUR,5731.0711864406785,2846.7530078931272,59,0.496722674572312
agv07_l008_proc4x,LPT_SMPT,2391.108333333333,555.124096766421,60,0.2321618343375301
agv07_l008_proc4x,SPT_SMPT,2427.2233333333334,659.099827156852,60,0.27154478045153874
agv07_l008_proc4x,SRT_SMPT,2465.5355932203393,687.1058480830304,59,0.27868421367447094
agv07_l008_proc4x,SDT_SRWT,2566.661666666667,550.3958520277733,60,0.2144403600894443
agv07_l008_proc4x,SPT_SRWT,2579.1,510.60957147585714,59,0.19797974932180107
agv07_l008_proc4x,SRT_SRWT,2589.4483333333333,549.0090680278754,60,0.21201777265088334
agv07_l008_proc4x,random,3044.0661016949152,858.2134535967969,59,0.28192996634302697
agv07_l008_proc4x,LPT_MMUR,6427.087500000001,2533.6849501269885,16,0.39421976908311707
agv07_l008_proc6x,SPT_SMPT,3725.598214285714,1249.6278112798332,56,0.3354166873089444
agv07_l008_proc6x,SRT_SMPT,3891.359259259259,1511.9266967753704,54,0.3885343387860759
agv07_l008_proc6x,SPT_SRWT,4127.774074074074,979.0217171806713,54,0.2371790944978697
agv07_l008_proc6x,SDT_SRWT,4179.396363636363,1061.6879835577759,55,0.2540290250513675
agv07_l008_proc6x,SRT_SRWT,4271.698113207547,1134.1675897887142,53,0.26550743047173964
agv07_l008_proc6x,LPT_SMPT,4320.511538461538,1428.1624784884568,52,0.3305540248590567
agv07_l008_proc6x,random,5248.9319148936165,1980.5035211878712,47,0.37731552881611563
agv07_l008_proc6x,LPT_MMUR,5925.025,1883.9339750904223,4,0.3179621984869975
