timestamp,instance,rule,seed,makespan,job_id,is_dynamic,arrival_time,op_index,machine_type_required,eligible_machine_count,min_proc_time,max_proc_time,mean_proc_time,proc_time_spread,travel_time
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,0,Weld,3,56.4,68.5,61.3,12.1,15.1
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,1,Mill,3,44.5,78.4,58.1,33.9,6.4
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,2,Weld,3,36.8,54.3,48.0,17.5,19.0
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,3,Assemble,3,48.3,63.5,57.2,15.1,6.4
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,4,Weld,3,34.8,67.0,51.1,32.1,19.0
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,5,Mill,3,33.8,51.7,42.4,17.9,6.4
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,6,Lathe,3,52.4,72.3,61.3,19.9,20.7
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,0,0,0.0,7,Assemble,3,46.1,66.1,57.0,20.0,4.7
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,0,Mill,3,51.5,54.2,53.1,2.7,18.8
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,1,Inspect,3,6.0,97.4,56.5,91.4,17.3
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,2,Weld,3,54.7,70.8,62.9,16.2,4.7
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,3,Mill,3,17.5,60.6,40.4,43.2,9.5
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,4,Assemble,3,51.6,64.4,56.0,12.8,3.0
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,5,Inspect,3,50.9,60.8,56.3,10.0,17.3
2026-06-25 21:36:20,med_capctl_cap15,LPT_MMUR,42,12169.9,1,0,0.0,6,Lathe,3,44.3,68.6,56.0,24.4,6.4
