instance,rule,mean,std,n,cv
agv07_l008_proc1x,SPT_SMPT,1041.5262295081966,179.98862917940065,61,0.17281238252097633
agv07_l008_proc1x,SRT_SMPT,1045.349180327869,178.88613941364193,61,0.17112572791948344
agv07_l008_proc1x,LPT_SMPT,1054.6524590163935,194.94033754506987,61,0.18483846112384564
agv07_l008_proc1x,SRT_SRWT,1102.78,194.68660936080528,60,0.1765416577747196
agv07_l008_proc1x,SPT_SRWT,1111.665,189.15005327131783,60,0.1701502280555004
agv07_l008_proc1x,SDT_SRWT,1121.6633333333334,204.8216272070687,60,0.18260526231020183
agv07_l008_proc1x,random,1133.3377049180328,197.2046332822283,61,0.17400341701019367
agv07_l008_proc1x,LRT_MMUR,1239.99,275.4059233389317,60,0.2221033422357694
agv07_l008_proc1x,LPT_MMUR,1326.105,355.5329308092719,60,0.2681031523214767
agv07_l008_proc2x,SPT_SMPT,1438.8933333333334,286.7514230110637,60,0.19928608769544906
agv07_l008_proc2x,LPT_SMPT,1442.22,262.74716647668237,60,0.1821824454498498
agv07_l008_proc2x,SRT_SMPT,1451.105,317.44374193959186,60,0.21876000836575704
agv07_l008_proc2x,SPT_SRWT,1498.3283333333334,249.85348390787743,60,0.16675482826386123
agv07_l008_proc2x,SRT_SRWT,1501.6716666666666,242.66463088369696,60,0.16159633045641156
agv07_l008_proc2x,SDT_SRWT,1504.4433333333334,267.1307369674414,60,0.17756118229828624
agv07_l008_proc2x,random,1526.115,281.98764537487773,60,0.18477483372804654
agv07_l008_proc2x,LPT_MMUR,4294.4425925925925,2314.5784038128686,54,0.5389706239886042
agv07_l008_proc2x,LRT_MMUR,5731.0711864406785,2846.7530078931272,59,0.496722674572312
agv07_l008_proc4x,SPT_SMPT,2412.226666666667,671.4546356615705,60,0.27835470229230963
agv07_l008_proc4x,LPT_SMPT,2420.555,615.7727619677213,60,0.25439321228714956
agv07_l008_proc4x,SRT_SMPT,2499.9949152542376,726.3509020471677,59,0.29054095174961636
agv07_l008_proc4x,SPT_SRWT,2505.0881355932206,538.8657615721563,59,0.21510850413434637
agv07_l008_proc4x,SDT_SRWT,2527.2183333333332,511.8363749704956,60,0.2025295433400078
agv07_l008_proc4x,SRT_SRWT,2611.673333333333,557.025386594484,60,0.2132829475589663
agv07_l008_proc4x,random,3214.128813559322,1028.3364540733514,59,0.31994251435572457
agv07_l008_proc4x,LPT_MMUR,6427.087500000001,2533.6849501269885,16,0.39421976908311707
agv07_l008_proc6x,SPT_SMPT,3803.567857142857,1239.0493461605067,56,0.3257597583893899
agv07_l008_proc6x,SRT_SMPT,3891.359259259259,1511.9266967753704,54,0.3885343387860759
agv07_l008_proc6x,SDT_SRWT,4067.896296296296,1019.7793422003001,54,0.25068961151462493
agv07_l008_proc6x,SRT_SRWT,4223.271698113207,1237.2820627639626,53,0.29296766848240713
agv07_l008_proc6x,LPT_SMPT,4260.488888888889,1483.793125191238,54,0.3482682771596672
agv07_l008_proc6x,SPT_SRWT,4280.128846153846,994.6243360866945,52,0.2323818678917741
agv07_l008_proc6x,random,4945.1375,1707.5435372942384,48,0.34529748410316974
agv07_l008_proc6x,LPT_MMUR,5925.025,1883.9339750904223,4,0.3179621984869975
