timestamp,instance,rule,seed,makespan,machine_id,machine_type,ops_completed,time_processing,time_operational,utilization_rate,idle_time,idle_rate,availability_rate,failure_count,total_repair_time
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,0,Mill,48,720.96,4003.02,0.1801,3282.06,0.8199,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,1,Lathe,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,2,Weld,45,2517.06,4003.02,0.6288,1485.96,0.3712,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,3,Inspect,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,4,Assemble,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,5,Mill,45,675.90,4003.02,0.1688,3327.12,0.8312,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,6,Lathe,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,7,Weld,43,2290.80,4003.02,0.5723,1712.22,0.4277,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,8,Inspect,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,9,Assemble,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,10,Mill,44,660.88,4003.02,0.1651,3342.14,0.8349,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,11,Lathe,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,12,Weld,49,2664.42,4003.02,0.6656,1338.60,0.3344,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,13,Inspect,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
2026-09-20 12:00:56,mfsweep_control_nofail,LRT_MMUR,42,4003.02,14,Assemble,0,0.00,4003.02,0.0000,4003.02,1.0000,1.0000,0,0.0
